date,Regroupement,Croisement,Nom,new_doses_1d,new_doses_2d,new_doses_3d,vac_quo_4_n,total_doses_1d,total_doses_2d,total_doses_3d,vac_cum_4_n,new_doses,total_doses,perc_1d,perc_2d,cvac_cum_tot_ade_p,per_quo_1_n,per_quo_2_n,per_cum_1_n,per_cum_2_n,vac_quo_tot_m
2020-12-14,Région,RSS06,06 - Montréal,148,0,0,0,148,0,0,0,148,148,0.0058233952,0.0,0.0020255288,115.0,0.0,115.0,0.0,
2020-12-15,Région,RSS06,06 - Montréal,382,0,0,0,530,0,0,0,382,530,0.0239012393,0.0,0.004861269,357.0,0.0,472.0,0.0,
2020-12-16,Région,RSS06,06 - Montréal,319,0,0,0,849,0,0,0,319,849,0.0403586604,0.0,0.0062285009,325.0,0.0,797.0,0.0,
2020-12-17,Région,RSS06,06 - Montréal,297,0,0,0,1146,0,0,0,297,1146,0.0558539553,0.0,0.0070893506,306.0,0.0,1103.0,0.0,
2020-12-18,Région,RSS06,06 - Montréal,145,0,0,0,1291,0,0,0,145,1291,0.064107985,0.0,0.0081527532,163.0,0.0,1266.0,0.0,
2020-12-19,Région,RSS06,06 - Montréal,83,0,0,0,1374,0,0,0,83,1374,0.0686654247,0.0,0.0087604119,90.0,0.0,1356.0,0.0,
2020-12-20,Région,RSS06,06 - Montréal,79,0,0,0,1453,0,0,0,79,1453,0.0731722262,0.0,0.0093680705,89.0,0.0,1445.0,0.0,
2020-12-21,Région,RSS06,06 - Montréal,322,0,0,0,1775,0,0,0,322,1775,0.0886675211,0.0,0.0126089165,306.0,0.0,1751.0,0.0,
2020-12-22,Région,RSS06,06 - Montréal,582,0,0,0,2357,0,0,0,582,2357,0.1128725897,0.0,0.0200020964,478.0,0.0,2229.0,0.0,
2020-12-23,Région,RSS06,06 - Montréal,477,0,0,0,2834,0,0,0,477,2834,0.1358117028,0.0,0.0226352838,453.0,0.0,2682.0,0.0,
2020-12-24,Région,RSS06,06 - Montréal,181,0,0,0,3015,0,0,0,181,3015,0.1449265822,0.0,0.0239518775,180.0,0.0,2862.0,0.0,
