,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,1429,0,1414,15,27,0,1343,59,196795,726.14,29.98,13.72
02,02 - Saguenay–Lac-Saint-Jean,8559,19,8376,183,244,4,7976,339,277378,3085.68,122.22,87.97
03,03 - Capitale-Nationale,20364,113,20054,310,819,10,17985,1560,760147,2678.96,205.22,107.74
04,04 - Mauricie et Centre-du-Québec,11507,64,11284,223,404,7,10142,961,524322,2194.64,183.28,77.05
05,05 - Estrie,9838,62,9439,399,228,5,8748,862,496770,1980.39,173.52,45.90
06,06 - Montréal,86493,754,83685,2808,4084,30,74198,8211,2078464,4161.39,395.05,196.49
07,07 - Outaouais,5548,22,5183,365,142,3,5046,360,404456,1371.72,89.01,35.11
08,08 - Abitibi-Témiscamingue,642,10,608,34,5,0,501,136,147658,434.79,92.10,3.39
09,09 - Côte-Nord,335,3,321,14,3,0,313,19,89368,374.85,21.26,3.36
10,10 - Nord-du-Québec,93,1,91,2,0,0,78,15,13485,689.66,111.23,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,1683,1,1664,19,45,2,1618,20,89648,1877.34,22.31,50.20
12,12 - Chaudière-Appalaches,10305,99,10046,259,218,4,9180,907,431910,2385.91,210.00,50.47
13,13 - Laval,20376,139,18950,1426,797,5,17813,1766,446572,4562.76,395.46,178.47
14,14 - Lanaudière,17506,86,16798,708,433,10,15769,1304,524642,3336.75,248.55,82.53
15,15 - Laurentides,13229,100,12628,601,393,3,11838,998,633508,2088.21,157.54,62.04
16,16 - Montérégie,34511,264,33064,1447,1211,26,30222,3078,1443701,2390.45,213.20,83.88
17,17 - Nunavik,34,0,32,2,0,0,29,5,14413,235.90,34.69,0.00
18,18 - Terres-Cries-de-la-Baie-James,55,2,55,0,2,0,20,33,18629,295.24,177.14,10.74
98,Inconnu,5,1,5,0,0,0,5,0,           .,         .  ,         .  ,         .  
99,Hors Québec,202,4,198,4,0,0,184,18,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,242714,1744,233895,8819,9055,109,213008,20651,8591866,2824.93,240.36,105.39
