,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,4020,1,3997,23,53,0,3956,11,196934.5,2041.29,5.59,26.91,0
02,02 - Saguenay-Lac-Saint-Jean,11091,1,10868,223,271,0,10810,10,277505,3996.68,3.61,97.66,12
03,03 - Capitale-Nationale,33262,20,32908,354,1119,0,32007,136,757803,4389.27,17.89,147.66,22
04,04 - Mauricie et Centre-du-Québec,15925,34,15685,240,561,0,15176,188,523331.5,3043.00,35.86,107.20,20
05,05 - Estrie,15351,18,14832,519,355,0,14809,187,494966.5,3101.42,37.64,71.72,18
06,06 - Montréal,136733,193,133803,2930,4775,1,130456,1502,2072060.5,6598.89,72.26,230.45,134
07,07 - Outaouais,12804,25,12357,447,215,0,12481,108,402744,3179.19,26.70,53.38,8
08,08 - Abitibi-Témiscamingue,1197,0,1164,33,9,0,1181,7,147637,810.77,4.74,6.10,0
09,09 - Côte-Nord,593,2,574,19,4,0,586,3,89700.5,661.09,3.36,4.46,0
10,10 - Nord-du-Québec,118,4,115,3,0,0,113,5,13521.5,872.68,37.08,0.00,0
11,11 - Gaspésie-Îles-de-la-Madeleine,2083,0,2063,20,47,0,2035,1,89823,2319.01,1.12,52.33,0
12,12 - Chaudière-Appalaches,19420,8,19138,282,367,0,19003,50,431109.5,4504.66,11.58,85.13,7
13,13 - Laval,33175,72,31312,1863,919,0,31799,457,444658.5,7460.78,102.34,206.68,52
14,14 - Lanaudière,24745,35,24032,713,517,0,23944,284,522367,4737.09,54.13,98.97,21
15,15 - Laurentides,21710,35,21106,604,510,0,20949,251,630238,3444.73,39.62,80.92,18
16,16 - Montérégie,52966,95,50997,1969,1559,0,50773,634,1438226,3682.73,43.91,108.40,56
17,17 - Nunavik,50,0,48,2,0,0,49,1,14336.5,348.76,6.94,0.00,0
18,18 - Terres-Cries-de-la-Baie-James,127,0,127,0,3,0,116,8,18507,686.23,42.94,16.21,0
98,Inconnu,4,0,3,1,0,0,4,0,.,.,.,.,0
99,Hors Québec,641,7,636,5,0,0,611,30,.,.,.,.,4
999,Ensemble du Québec,386015,550,375765,10250,11284,1,370858,3873,8565469.5,4506.64,45.08,131.74,372

