,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,1386,8,1371,15,24,0,1243,119,196795,704.29,60.47,12.20
02,02 - Saguenay–Lac-Saint-Jean,8294,69,8112,182,235,5,7490,569,277378,2990.14,205.14,84.72
03,03 - Capitale-Nationale,19378,161,19077,301,753,6,16597,2028,760147,2549.24,266.79,99.06
04,04 - Mauricie et Centre-du-Québec,10858,87,10640,218,382,1,9243,1233,524322,2070.86,235.16,72.86
05,05 - Estrie,9052,111,8665,387,201,0,7763,1088,496770,1822.17,219.01,40.46
06,06 - Montréal,80065,1531,77271,2794,3967,9,67111,8987,2078464,3852.12,432.39,190.86
07,07 - Outaouais,5219,51,4871,348,133,3,4662,424,404456,1290.38,104.83,32.88
08,08 - Abitibi-Témiscamingue,515,22,481,34,5,0,352,158,147658,348.78,107.00,3.39
09,09 - Côte-Nord,317,2,304,13,3,0,297,17,89368,354.71,19.02,3.36
10,10 - Nord-du-Québec,78,-1,76,2,0,0,75,3,13485,578.42,22.25,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,1666,6,1647,19,43,0,1551,72,89648,1858.38,80.31,47.97
12,12 - Chaudière-Appalaches,9474,128,9219,255,203,1,8128,1143,431910,2193.51,264.64,47.00
13,13 - Laval,18831,222,17447,1384,782,4,15867,2182,446572,4216.79,488.61,175.11
14,14 - Lanaudière,16536,155,15829,707,410,4,14585,1541,524642,3151.86,293.72,78.15
15,15 - Laurentides,12251,143,11650,601,374,0,10826,1051,633508,1933.84,165.90,59.04
16,16 - Montérégie,32068,424,30630,1438,1130,8,26971,3967,1443701,2221.24,274.78,78.27
17,17 - Nunavik,29,0,27,2,0,0,29,0,14413,201.21,0.00,0.00
18,18 - Terres-Cries-de-la-Baie-James,28,7,27,1,2,0,17,9,18629,150.30,48.31,10.74
98,Inconnu,4,0,4,0,0,0,4,0,           .,         .  ,         .  ,         .  
99,Hors Québec,184,1,181,3,0,0,168,16,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,226233,3127,217529,8704,8647,41,192979,24607,8591866,2633.11,286.40,100.64
