CIUSSS de l'Ouest-de-l'Île-de-Montréal;191;1934;516,9;11824;3160,5;33;* 8,8;751;200,7
CIUSSS du Centre-Ouest-de-l'Île-de-Montréal ;125;2168;574,9;13942;3696,9;17;* 4,5;621;164,7
CIUSSS du Centre-Sud-de-l'Île-de-Montréal ;78;1150;351,1;8977;2740,7;15;* 4,6;570;174
CIUSSS du Nord-de-l'Île-de-Montréal ;190;2890;642,4;19052;4234,8;28;* 6,2;891;198
CIUSSS de l'Est-de-l'Île-de-Montréal ;220;3556;662,2;23250;4329,8;35;* 6,5;1104;205,6
Territoire à confirmer;33;285;0;1489;0;< 5;0;21;0
Total à Montréal;837;11983;;78534;;129;;3958;
0;0;0;0;0;0;0;0;0;0
