group,1d,2d,pop 2021
0-11,405,58,1079338
12-17,421864,156325,529446
18-29,860934,488257,1216440
30-39,841158,558386,1118629
40-49,908257,677385,1115327
50-59,999111,806494,1155183
60-69,1071432,958431,1168854
70-79,734894,697373,783129
80 plus,392473,371374,425520
Total 12+,6230123,4714025,7512528
Total,6230528,4714083,8591866
