group,1d,2d,pop 2021
0-11,538,133,1079338
12-17,503166,461274,529446
18-29,1054797,974795,1216440
30-39,973242,915266,1118629
40-49,997496,959176,1115327
50-59,1059012,1023189,1155183
60-69,1101282,1084452,1168854
70-79,747018,743258,783129
80 plus,397545,393807,425520
Total 12+,6833558,6555217,7512528
Total,6834096,6555350,8591866
