,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,4190,2,4168,22,54,0,4087,49,196934.5,2127.61,24.90,27.42,2
02,02 - Saguenay-Lac-Saint-Jean,11362,6,11144,218,271,0,11039,52,277505,4094.34,18.75,97.66,6
03,03 - Capitale-Nationale,34490,21,34136,354,1127,0,33156,207,757803,4551.31,27.23,148.72,31
04,04 - Mauricie et Centre-du-Québec,17471,11,17233,238,569,0,16656,246,523331.5,3338.42,46.92,108.73,33
05,05 - Estrie,17026,33,16514,512,368,0,16334,324,494966.5,3439.83,65.22,74.35,26
06,06 - Montréal,147639,96,144706,2933,4825,2,141357,1457,2072060.5,7125.23,70.10,232.86,144
07,07 - Outaouais,14171,4,13723,448,222,0,13790,159,402744,3518.61,39.31,55.12,30
08,08 - Abitibi-Témiscamingue,1270,2,1237,33,10,0,1244,16,147637,860.22,10.84,6.77,4
09,09 - Côte-Nord,671,2,650,21,5,0,619,47,89700.5,748.04,52.59,5.57,5
10,10 - Nord-du-Québec,137,0,135,2,0,0,136,1,13521.5,1013.20,7.42,0.00,0
11,11 - Gaspésie-Îles-de-la-Madeleine,2192,2,2171,21,48,0,2127,17,89823,2440.35,18.96,53.44,0
12,12 - Chaudière-Appalaches,21854,37,21581,273,376,1,20952,526,431109.5,5069.25,121.78,87.22,77
13,13 - Laval,36729,26,34798,1931,935,0,35391,403,444658.5,8260.05,90.24,210.27,40
14,14 - Lanaudière,27150,22,26440,710,528,1,26326,296,522367,5197.50,56.42,101.08,48
15,15 - Laurentides,24827,25,24224,603,526,0,24025,276,630238,3939.31,43.57,83.46,42
16,16 - Montérégie,57889,49,55965,1924,1583,0,55553,753,1438226,4025.03,52.16,110.07,92
17,17 - Nunavik,68,3,66,2,0,0,56,12,14336.5,474.31,83.26,0.00,1
18,18 - Terres-Cries-de-la-Baie-James,142,0,142,0,5,0,137,0,18507,767.28,0.00,27.02,0
98,Inconnu,4,0,3,1,0,0,4,0,.,.,.,.,0
99,Hors Québec,1189,1,1182,7,1,0,1168,20,.,.,.,.,4
999,Ensemble du Québec,420471,342,410218,10253,11453,4,404157,4861,8565469.5,4908.91,56.58,133.71,585

