"Date";"Doses du vaccin COVID-19 reçues (cumulatif)";"Doses du vaccin COVID-19 administrées (cumulatif)"
2022-05-12;23082195;19734481
2022-05-11;23082195;19714116
2022-05-10;23082195;19695284
2022-05-09;23082195;19676079
2022-05-08;23082195;19663927
2022-05-07;23082195;19656226
2022-05-06;23082195;19635234
