group,1d,2d,pop 2021
0-11,465.0,65.0,1079338
12-17,409575.0,35044.0,529446
18-29,835620.0,276883.0,1216440
30-39,820961.0,344300.0,1118629
40-49,892825.0,468795.0,1115327
50-59,987715.0,651528.0,1155183
60-69,1065631.0,861980.0,1168854
70-79,732631.0,648210.0,783129
80 plus,391603.0,355245.0,425520
Total 12+,6136561.0,3641985.0,7512528
Total,6137026.0,3642050.0,8591866
