group,0d,1d,2d,3d,pop 2021
0-4,1,85,15,0,109960
5-11,144,80767,60814,0,149671
12-17,15294,100213,92926,0,115666
18-29,116103,325853,304058,0,367326
30-39,131750,284500,269878,0,330128
40-49,136211,251754,241624,0,281268
50-59,149229,230863,223828,0,254246
60-69,168681,211999,206940,0,219244
70-79,128118,149092,145922,0,148691
80 plus,89784,106079,102365,0,102264
Total 12+,935170,1660353,1587541,0,1818833
Total,935315,1741205,1648370,0,2078464
