group,1d,2d,3d,pop 2021
0-4,31305,13292,37,428991
5-11,441262,338436,32610,650347
12-17,532838,510400,122492,529446
18-29,1118401,1059309,454318,1216440
30-39,1026326,985883,521643,1118629
40-49,1030775,1006231,658330,1115327
50-59,1082850,1057268,806951,1155183
60-69,1118920,1106781,1003904,1168854
70-79,755914,754403,726608,783129
80 plus,401315,401765,392018,425520
Total 5+,7508601,7220476,4718874,8162875
Total,7539906,7233768,4718911,8591866
