group,1d,2d,pop 2021
0-11,417,64,1079338
12-17,433290,248486,529446
18-29,882255,613288,1216440
30-39,858438,660988,1118629
40-49,920908,765466,1115327
50-59,1007962,878577,1155183
60-69,1075794,1005017,1168854
70-79,736558,714373,783129
80 plus,393069,376493,425520
Total 12+,6308274,5262688,7512528
Total,6308691,5262752,8591866
