Arrondissement ou ville liée;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
Ahuntsic–Cartierville;15;128;95,3;20248;15082,9;< 5;n.p.;528;393,3
Anjou;< 5;38;88,8;6929;16190,8;< 5;n.p.;85;198,6
Baie D'urfé;< 5;13;* 340;304;7951,9;0;;< 5;n.p.
Beaconsfield;< 5;22;* 113,8;1571;8129,8;0;;27;* 139,7
Côte-des-Neiges–Notre-Dame-de-Grâce;10;179;107,5;24134;14493,2;0;;407;244,4
Côte-Saint-Luc;< 5;49;151;5409;16669,7;0;;129;397,6
Dollard-des-Ormeaux;< 5;82;167,7;6226;12732,4;0;;131;267,9
Dorval;< 5;26;* 137;2108;11106,4;0;;70;368,8
Hampstead;< 5;23;* 329,8;1093;15674,7;0;;6;n.p.
Kirkland;< 5;27;* 134;1961;9731,5;0;;40;198,5
Lachine;5;41;92,2;6340;14250,7;0;;189;424,8
LaSalle;< 5;81;105,4;11197;14569,4;< 5;n.p.;260;338,3
L'Île-Bizard–Sainte-Geneviève;< 5;45;244,4;2420;13142,9;0;;79;429
Mercier–Hochelaga-Maisonneuve;7;141;103,7;19557;14377,6;0;;500;367,6
Montréal Est;0;7;n.p.;664;17246,8;0;;11;* 285,7
Montréal-Nord;< 5;69;81,9;15354;18227,8;< 5;n.p.;387;459,4
Montréal-Ouest;< 5;7;n.p.;567;11227,7;0;;< 5;n.p.
Mont-Royal;< 5;27;* 133,2;2609;12867,4;0;;95;468,5
Outremont;< 5;36;* 150,3;2863;11952,1;< 5;n.p.;31;* 129,4
Pierrefonds–Roxboro;12;67;96,7;9036;13039,5;< 5;n.p.;103;148,6
Plateau Mont-Royal;9;129;124;12609;12124;0;;194;186,5
Pointe-Claire;< 5;39;124,3;2885;9193,8;< 5;n.p.;65;207,1
Rivière-des-Prairies–Pointe-aux-Trembles;6;112;104,9;17871;16742,1;0;;352;329,8
Rosemont–La Petite Patrie;10;157;112,5;17831;12773,8;0;;352;252,2
Sainte-Anne-de-Bellevue;< 5;20;* 403,4;467;9419,1;0;;14;* 282,4
Saint-Laurent;5;86;87;14861;15037,2;0;;171;173
Saint-Léonard;< 5;61;77,9;14452;18456;0;;167;213,3
Senneville;0;< 5;n.p.;88;9554,8;0;;0;
Sud-Ouest;< 5;90;115,2;9816;12560,3;0;;228;291,7
Verdun;< 5;78;112,7;7667;11074,8;0;;211;304,8
Ville-Marie;12;140;157;12004;13461,9;< 5;n.p.;153;171,6
Villeray–Saint-Michel–Parc-Extension;5;123;85,5;21960;15265,6;< 5;n.p.;244;169,6
Westmount;9;40;196,9;2013;9910,4;0;;64;315,1
Territoire à confirmer;< 5;88;;7477;;0;;31;
Total à Montréal;154;2274;110,1;282592;13680,5;11;*0,5;5330;258
