,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2022,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,10730,77,10692,38,66,0,9214,1450,197738.33333,5426.36,733.57,33.38,381
02,02 - Saguenay-Lac-Saint-Jean,19366,128,19052,314,292,4,16494,2580,278600,6951.18,926.07,104.81,527
03,03 - Capitale-Nationale,58824,591,58459,365,1187,11,50717,6920,761103.66667,7728.78,902.71,155.96,1731
04,04 - Mauricie et Centre-du-Québec,38921,393,38681,240,641,3,32644,5636,527666.66667,7376.06,1062.82,121.48,674
05,05 - Estrie,35393,260,34868,525,449,6,31616,3328,502406,7044.70,655.15,89.37,672
06,06 - Montréal,251980,2274,248746,3234,4987,14,226204,20789,2061667.3333,12222.15,1003.58,241.89,5342
07,07 - Outaouais,30533,194,30091,442,224,0,26498,3811,405378.66667,7531.97,930.11,55.26,1017
08,08 - Abitibi-Témiscamingue,4524,76,4489,35,27,1,3473,1024,147876.33333,3059.31,692.17,18.26,205
09,09 - Côte-Nord,2789,68,2762,27,5,0,1994,790,90082.333333,3096.06,881.03,5.55,130
10,10 - Nord-du-Québec,538,14,481,57,0,0,402,136,13383.666667,4019.83,1022.25,0.00,16
11,11 - Gaspésie-Îles-de-la-Madeleine,4122,24,4086,36,48,0,3637,437,90783.333333,4540.48,480.77,52.87,114
12,12 - Chaudière-Appalaches,43474,380,43199,275,428,3,37209,5837,434525.66667,10004.93,1337.02,98.50,1063
13,13 - Laval,59599,455,57632,1967,964,2,53982,4653,445993.33333,13363.20,1033.72,216.15,1379
14,14 - Lanaudière,54752,398,54037,715,586,12,48023,6143,530581,10319.25,1143.93,110.44,1500
15,15 - Laurentides,50404,1104,49798,606,549,0,44424,5431,640046.66667,7875.05,837.19,85.77,2127
16,16 - Montérégie,112117,843,110203,1914,1728,11,99165,11224,1452381.3333,7719.53,765.20,118.98,2455
17,17 - Nunavik,1777,41,1773,4,6,1,1368,403,14619,12155.41,2709.97,41.04,57
18,18 - Terres-Cries-de-la-Baie-James,969,47,829,140,5,0,697,267,18660.333333,5192.83,1407.41,26.79,48
98,Inconnu,4,0,3,1,0,0,4,0,.,.,.,.,0
99,Hors Québec,2286,15,2278,8,1,0,2083,202,.,.,.,.,54
999,Ensemble du Québec,783102,7382,772159,10943,12193,68,689848,81061,8613493.6667,9091.57,934.18,141.56,19492

