Arrondissement ou ville liée;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
Ahuntsic–Cartierville;9;194;144,5;21833;16263,5;< 5;n.p.;535;398,5
Anjou;< 5;53;123,8;7364;17207,2;0;;87;203,3
Baie D'urfé;0;< 5;n.p.;358;9364,4;0;;< 5;n.p.
Beaconsfield;< 5;29;* 150,1;1856;9604,6;0;;27;* 139,7
Côte-des-Neiges–Notre-Dame-de-Grâce;10;177;106,3;26051;15644,4;< 5;n.p.;417;250,4
Côte-Saint-Luc;< 5;56;172,6;6038;18608,2;< 5;n.p.;131;403,7
Dollard-des-Ormeaux;< 5;88;180;6835;13977,8;< 5;n.p.;134;274
Dorval;< 5;30;* 158,1;2357;12418,3;0;;70;368,8
Hampstead;0;7;n.p.;1345;19288,7;0;;7;n.p.
Kirkland;0;37;183,6;2264;11235,2;0;;40;198,5
Lachine;< 5;51;114,6;6911;15534,2;< 5;n.p.;195;438,3
LaSalle;9;91;118,4;12060;15692,3;0;;261;339,6
L'Île-Bizard–Sainte-Geneviève;< 5;27;* 146,6;2632;14294,2;0;;82;445,3
Mercier–Hochelaga-Maisonneuve;8;179;131,6;21240;15614,9;< 5;n.p.;517;380,1
Montréal Est;0;< 5;n.p.;748;19428,6;0;;12;* 311,7
Montréal-Nord;< 5;78;92,6;16051;19055,3;< 5;n.p.;398;472,5
Montréal-Ouest;0;6;n.p.;647;12811,9;0;;< 5;n.p.
Mont-Royal;0;29;* 143;2949;14544,3;0;;95;468,5
Outremont;0;24;* 100,2;3186;13300,5;0;;31;* 129,4
Pierrefonds–Roxboro;6;72;103,9;9723;14030,9;0;;105;151,5
Plateau Mont-Royal;< 5;110;105,8;13964;13426,9;< 5;n.p.;202;194,2
Pointe-Claire;< 5;36;* 114,7;3273;10430,2;0;;68;216,7
Rivière-des-Prairies–Pointe-aux-Trembles;< 5;106;99,3;19124;17915,9;< 5;n.p.;360;337,3
Rosemont–La Petite Patrie;7;155;111;19742;14142,8;< 5;n.p.;365;261,5
Sainte-Anne-de-Bellevue;0;7;n.p.;531;10710;0;;16;* 322,7
Saint-Laurent;7;99;100,2;15811;15998,5;0;;174;176,1
Saint-Léonard;< 5;71;90,7;15154;19352,5;< 5;n.p.;173;220,9
Senneville;0;0;;96;10423,5;0;;0;
Sud-Ouest;5;98;125,4;10810;13832,2;0;;235;300,7
Verdun;< 5;107;154,6;8552;12353,2;< 5;n.p.;220;317,8
Ville-Marie;16;209;234,4;13486;15123,9;0;;159;178,3
Villeray–Saint-Michel–Parc-Extension;< 5;110;76,5;23303;16199,2;< 5;n.p.;253;175,9
Westmount;< 5;25;* 123,1;2452;12071,7;< 5;n.p.;66;324,9
Territoire à confirmer;9;86;;8510;;0;;31;
Total à Montréal;122;2452;118,7;307257;14874,5;24;*1,2;5472;264,9
