Arrondissement ou ville liée;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
Ahuntsic–Cartierville;10;334;248,8;8613;6415,9;6;n.p.;458;341,2
Anjou;18;155;362,2;2907;6792,7;< 5;n.p.;72;168,2
Baie D'urfé;0;0;;67;1752,6;0;;< 5;n.p.
Beaconsfield;< 5;13;* 67,3;370;1914,7;0;;18;* 93,1
Côte-des-Neiges–Notre-Dame-de-Grâce;41;587;352,5;9693;5820,9;< 5;n.p.;346;207,8
Côte-Saint-Luc;6;208;641;2274;7008,1;< 5;n.p.;109;335,9
Dollard-des-Ormeaux;19;129;263,8;2215;4529,7;< 5;n.p.;119;243,4
Dorval;< 5;21;* 110,6;663;3493,2;0;;67;353
Hampstead;< 5;13;* 186,4;325;4660,8;< 5;n.p.;5;n.p.
Kirkland;< 5;20;* 99,3;542;2689,7;0;;31;* 153,8
Lachine;5;69;155,1;2501;5621,6;< 5;n.p.;168;377,6
LaSalle;13;162;210,8;4511;5869,6;< 5;n.p.;234;304,5
L'Île-Bizard–Sainte-Geneviève;< 5;27;* 146,6;863;4686,9;< 5;n.p.;73;396,5
Mercier–Hochelaga-Maisonneuve;6;225;165,4;7297;5364,5;7;n.p.;437;321,3
Montréal Est;< 5;< 5;n.p.;223;5792,2;< 5;n.p.;8;n.p.
Montréal-Nord;10;243;288,5;7904;9383,4;< 5;n.p.;322;382,3
Montréal-Ouest;0;5;n.p.;126;2495;0;;< 5;n.p.
Mont-Royal;< 5;27;* 133,2;943;4650,8;0;;92;453,7
Outremont;< 5;54;225,4;1086;4533,7;0;;21;* 87,7
Pierrefonds–Roxboro;8;162;233,8;3302;4765;0;;77;111,1
Plateau Mont-Royal;5;147;141,3;3769;3624;0;;168;161,5
Pointe-Claire;< 5;47;149,8;864;2753,3;0;;51;162,5
Rivière-des-Prairies–Pointe-aux-Trembles;28;308;288,5;7705;7218,3;< 5;n.p.;306;286,7
Rosemont–La Petite Patrie;10;202;144,7;5974;4279,7;0;;314;224,9
Sainte-Anne-de-Bellevue;0;7;n.p.;118;2380;0;;12;* 242
Saint-Laurent;24;442;447,2;6364;6439,5;< 5;n.p.;142;143,7
Saint-Léonard;13;266;339,7;6541;8353,2;6;n.p.;125;159,6
Senneville;0;0;;22;* 2388,7;0;;0;
Sud-Ouest;7;84;107,5;3197;4090,8;0;;203;259,8
Verdun;9;121;174,8;2626;3793,2;< 5;n.p.;192;277,3
Ville-Marie;6;120;134,6;3964;4445,4;< 5;n.p.;115;129
Villeray–Saint-Michel–Parc-Extension;27;382;265,5;9099;6325,2;< 5;n.p.;177;123
Westmount;0;14;* 68,9;616;3032,7;0;;57;280,6
Territoire à confirmer;< 5;35;;1700;;0;;25;
Total à Montréal;291;4632;224,2;108984;5276;46;2,2;4550;220,3
