Date;Doses du vaccin COVID-19 reçues (cumulatif);Doses du vaccin COVID-19 administrées (cumulatif);;
2021-06-23;9348479;7692855;;
2021-06-22;8802479;7576135;7572965;119890
2021-06-21;8149519;7478365;;116720
2021-06-20;8149519;7393296;;3170
2021-06-19;8121799;7335789;;
2021-06-18;8121799;7263624;;
2021-06-17;7789859;7171828;;
