Regroupement,Croisement,Nom,Cumul,nbPrelPos,nombreSequencageA,nombreSequencageB,nombreSequencageG,NbrConfirmeDelta,NbrPresomptifDelta,Delta_Total,NbrAutres,NbrAutre2,Total_VOC,nbrNonVOC,nbrCribETSeq,nbrCrib,nbrSeq,nbrCribOUSeq
Région,RSS01,01 - Bas-Saint-Laurent,Total,2895,994,0,0,5,108,113,1788,1296,1107,492,188,1695,220,1599
Région,RSS02,02 - Saguenay-Lac-Saint-Jean,Total,3406,997,0,0,15,216,231,2178,1404,1228,774,171,2026,207,2002
Région,RSS03,03 - Capitale-Nationale,Total,15908,6276,5,11,183,987,1170,8446,5332,7462,3114,866,10270,1056,10576
Région,RSS04,04 - Mauricie et Centre-du-Québec,Total,7296,1652,1,2,137,902,1039,4602,3985,2694,617,334,4407,377,3311
Région,RSS05,05 - Estrie,Total,8468,2035,0,11,222,916,1138,5284,4246,3184,1038,507,4087,380,4222
Région,RSS06,06 - Montréal,Total,74201,13822,126,284,2480,7962,10442,49527,34541,24674,14986,5381,31868,6039,39660
Région,RSS07,07 - Outaouais,Total,8297,3839,17,33,104,1101,1205,3203,1833,5094,1370,179,4881,1138,6464
Région,RSS08,08 - Abitibi-Témiscamingue,Total,921,101,193,0,11,57,68,559,275,362,284,16,275,240,646
Région,RSS09,09 - Côte-Nord,Total,380,163,0,0,3,62,65,152,101,228,51,14,288,36,279
Région,RSS10,10 - Nord-du-Québec,Total,65,22,2,0,4,12,16,25,4,40,21,6,57,6,61
Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,Total,602,185,0,0,5,80,85,332,261,270,71,14,370,36,341
Région,RSS12,12 - Chaudière-Appalaches,Total,13406,3452,1,10,46,1901,1947,7996,6726,5410,1270,515,8623,770,6680
Région,RSS13,13 - Laval,Total,18880,3278,13,23,422,3082,3504,12062,8971,6818,3091,620,7426,909,9909
Région,RSS14,14 - Lanaudière,Total,11432,1820,38,11,189,1990,2179,7384,4936,4048,2448,570,5435,767,6496
Région,RSS15,15 - Laurentides,Total,13209,2559,33,59,219,2784,3003,7555,4434,5654,3121,911,7703,1013,8775
Région,RSS16,16 - Montérégie,Total,27101,4291,25,155,1123,3069,4192,18438,13219,8663,5219,1905,11273,2202,13882
Région,RSS00,Inconnu,Total,547,50,1,0,21,73,94,402,196,145,206,24,270,89,351
Région,RSS98,Hors-Québec,Total,867,125,11,10,152,148,300,421,284,446,137,170,359,248,583
Région,RSS99,Ensemble du Québec,Total,207881,45661,466,609,5341,25450,30791,130354,92044,77527,38310,12391,101313,15733,115837

