,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,4275,7,4253,22,54,0,4129,92,196934.5,2170.77,46.75,27.42,9
02,02 - Saguenay-Lac-Saint-Jean,11392,4,11172,220,272,0,11078,42,277505,4105.15,15.14,98.02,7
03,03 - Capitale-Nationale,34631,10,34276,355,1129,2,33317,185,757803,4569.92,24.34,148.98,23
04,04 - Mauricie et Centre-du-Québec,17585,16,17346,239,571,0,16847,167,523331.5,3360.20,31.85,109.11,41
05,05 - Estrie,17238,22,16721,517,370,0,16532,336,494966.5,3482.66,67.64,74.75,56
06,06 - Montréal,148342,77,145405,2937,4831,1,142281,1230,2072060.5,7159.15,59.18,233.15,147
07,07 - Outaouais,14224,7,13779,445,222,0,13907,95,402744,3531.77,23.49,55.12,11
08,08 - Abitibi-Témiscamingue,1276,1,1243,33,10,0,1254,12,147637,864.28,8.13,6.77,3
09,09 - Côte-Nord,690,5,669,21,5,0,655,30,89700.5,769.23,33.57,5.57,2
10,10 - Nord-du-Québec,137,0,135,2,0,0,137,0,13521.5,1013.20,0.00,0.00,0
11,11 - Gaspésie-Îles-de-la-Madeleine,2207,4,2186,21,48,0,2140,19,89823,2457.05,21.19,53.44,2
12,12 - Chaudière-Appalaches,22100,24,21829,271,378,0,21383,339,431109.5,5126.31,78.49,87.68,53
13,13 - Laval,36924,44,34999,1925,937,1,35659,328,444658.5,8303.90,73.45,210.72,37
14,14 - Lanaudière,27247,20,26537,710,531,0,26487,229,522367,5216.06,43.65,101.65,32
15,15 - Laurentides,25034,26,24431,603,528,1,24236,270,630238,3972.15,42.62,83.78,26
16,16 - Montérégie,58203,40,56280,1923,1585,0,56017,601,1438226,4046.86,41.63,110.21,91
17,17 - Nunavik,145,16,136,9,0,0,64,81,14336.5,1011.40,561.99,0.00,0
18,18 - Terres-Cries-de-la-Baie-James,142,0,142,0,5,0,137,0,18507,767.28,0.00,27.02,0
98,Inconnu,4,0,3,1,0,0,4,0,.,.,.,.,0
99,Hors Québec,1199,1,1192,7,1,0,1187,11,.,.,.,.,3
999,Ensemble du Québec,422995,324,412734,10261,11477,5,407451,4067,8565469.5,4938.37,47.34,133.99,543

