Regroupement,Croisement,Nom,Cumul,nbPrelPos,nombreSequencageA,nombreSequencageB,nombreSequencageG,NbrConfirmeDelta,NbrPresomptifDelta,Delta_Total,NbrAutres,NbrAutre2,Total_VOC,nbrNonVOC,nbrCribETSeq,nbrCrib,nbrSeq,nbrCribOUSeq
Région,RSS01,01 - Bas-Saint-Laurent,Total,3057,994,0,0,8,105,113,1950,1458,1107,492,196,1688,227,1599
Région,RSS02,02 - Saguenay-Lac-Saint-Jean,Total,3442,997,0,0,38,193,231,2214,1440,1228,774,196,2000,212,2002
Région,RSS03,03 - Capitale-Nationale,Total,16219,6277,5,11,371,803,1174,8752,5638,7467,3114,1066,10071,1191,10581
Région,RSS04,04 - Mauricie et Centre-du-Québec,Total,7498,1652,1,2,144,895,1039,4804,4186,2694,618,347,4407,381,3312
Région,RSS05,05 - Estrie,Total,8989,2034,0,11,236,903,1139,5805,4765,3184,1040,523,4073,388,4224
Région,RSS06,06 - Montréal,Total,75834,13823,126,285,2905,7607,10512,51088,36098,24746,14990,5919,31355,6631,39736
Région,RSS07,07 - Outaouais,Total,8361,3839,17,33,110,1096,1206,3266,1897,5095,1369,185,4875,1144,6464
Région,RSS08,08 - Abitibi-Témiscamingue,Total,929,103,193,0,15,56,71,562,278,367,284,18,273,246,651
Région,RSS09,09 - Côte-Nord,Total,424,163,0,0,9,56,65,196,145,228,51,20,282,41,279
Région,RSS10,10 - Nord-du-Québec,Total,67,22,2,0,4,12,16,27,6,40,21,12,51,6,61
Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,Total,683,185,0,0,33,56,89,409,338,274,71,38,346,59,345
Région,RSS12,12 - Chaudière-Appalaches,Total,13926,3452,1,10,338,1612,1950,8513,7244,5413,1269,815,8323,980,6682
Région,RSS13,13 - Laval,Total,19322,3279,13,23,475,3032,3507,12500,9408,6822,3092,692,7357,946,9914
Région,RSS14,14 - Lanaudière,Total,11766,1819,38,11,220,1961,2181,7717,5270,4049,2447,644,5359,821,6496
Région,RSS15,15 - Laurentides,Total,13613,2559,33,59,271,2736,3007,7955,4830,5658,3125,1003,7617,1067,8783
Région,RSS16,16 - Montérégie,Total,28006,4291,25,155,1290,2908,4198,19337,14117,8669,5220,2138,11044,2435,13889
Région,RSS00,Inconnu,Total,724,51,1,0,21,73,94,578,370,146,208,25,272,90,354
Région,RSS98,Hors-Québec,Total,915,125,11,10,165,139,304,465,327,450,138,180,352,262,588
Région,RSS99,Ensemble du Québec,Total,213775,45665,466,610,6653,24243,30896,136138,97815,77637,38323,14017,99745,17127,115960

