,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,1419,7,1404,15,27,1,1321,71,196795,721.05,36.08,13.72
02,02 - Saguenay–Lac-Saint-Jean,8506,30,8323,183,240,2,7880,386,277378,3066.57,139.16,86.52
03,03 - Capitale-Nationale,20150,130,19842,308,809,8,17666,1675,760147,2650.80,220.35,106.43
04,04 - Mauricie et Centre-du-Québec,11357,83,11137,220,397,6,9922,1038,524322,2166.04,197.97,75.72
05,05 - Estrie,9676,101,9283,393,222,3,8523,931,496770,1947.78,187.41,44.69
06,06 - Montréal,84781,760,81974,2807,4049,26,72300,8432,2078464,4079.02,405.68,194.81
07,07 - Outaouais,5483,38,5124,359,139,0,4947,397,404456,1355.65,98.16,34.37
08,08 - Abitibi-Témiscamingue,614,18,580,34,5,0,430,179,147658,415.83,121.23,3.39
09,09 - Côte-Nord,328,3,314,14,3,0,312,13,89368,367.02,14.55,3.36
10,10 - Nord-du-Québec,92,3,89,3,0,0,76,16,13485,682.24,118.65,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,1681,0,1662,19,43,0,1606,32,89648,1875.11,35.70,47.97
12,12 - Chaudière-Appalaches,10111,87,9852,259,214,1,8915,982,431910,2341.00,227.36,49.55
13,13 - Laval,20018,126,18599,1419,792,2,17314,1912,446572,4482.59,428.15,177.35
14,14 - Lanaudière,17307,89,16599,708,423,2,15489,1395,524642,3298.82,265.90,80.63
15,15 - Laurentides,13020,126,12419,601,390,1,11599,1031,633508,2055.22,162.74,61.56
16,16 - Montérégie,33920,311,32481,1439,1183,8,29399,3338,1443701,2349.52,231.21,81.94
17,17 - Nunavik,31,1,29,2,0,0,29,2,14413,215.08,13.88,0.00
18,18 - Terres-Cries-de-la-Baie-James,50,2,50,0,2,0,19,29,18629,268.40,155.67,10.74
98,Inconnu,4,0,4,0,0,0,4,0,           .,         .  ,         .  ,         .  
99,Hors Québec,197,3,193,4,0,0,183,14,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,238745,1918,229958,8787,8938,60,207934,21873,8591866,2778.73,254.58,104.03
