Arrondissement ou ville liée;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
Ahuntsic–Cartierville;85;1076;801,5;6624;4934,3;12;*8,9;399;297,2
Anjou;17;313;731,4;2105;4918,7;< 5;n.p.;58;135,5
Baie D'urfé;0;5;n.p.;61;1595,6;0;;< 5;n.p.
Beaconsfield;< 5;39;201,8;280;1449;0;;11;* 56,9
Côte-des-Neiges–Notre-Dame-de-Grâce;69;1085;651,6;7384;4434,3;8;n.p.;318;191
Côte-Saint-Luc;10;199;613,3;1785;5501,1;< 5;n.p.;98;302
Dollard-des-Ormeaux;11;305;623,7;1676;3427,5;< 5;n.p.;103;210,6
Dorval;< 5;42;221,3;522;2750,3;< 5;n.p.;67;353
Hampstead;< 5;51;731,4;252;3613,9;0;;< 5;n.p.
Kirkland;< 5;79;392;453;2248;0;;30;* 148,9
Lachine;< 5;238;535;1981;4452,8;< 5;n.p.;154;346,2
LaSalle;29;572;744,3;3640;4736,3;6;n.p.;201;261,5
L'Île-Bizard–Sainte-Geneviève;< 5;117;635,4;683;3709,3;6;n.p.;65;353
Mercier–Hochelaga-Maisonneuve;57;774;569;5778;4247,8;9;n.p.;401;294,8
Montréal Est;< 5;37;961;174;4519,5;0;;5;n.p.
Montréal-Nord;73;821;974,7;6289;7466,1;12;*14,2;284;337,2
Montréal-Ouest;5;29;* 574,3;108;2138,6;0;;< 5;n.p.
Mont-Royal;7;88;434;793;3911;0;;91;448,8
Outremont;5;82;342,3;914;3815,6;< 5;n.p.;18;* 75,1
Pierrefonds–Roxboro;14;442;637,8;2496;3601,9;< 5;n.p.;69;99,6
Plateau Mont-Royal;22;400;384,6;2994;2878,8;< 5;n.p.;141;135,6
Pointe-Claire;< 5;94;299,6;717;2284,9;5;n.p.;45;143,4
Rivière-des-Prairies–Pointe-aux-Trembles;77;855;801;5869;5498,3;12;*11,2;276;258,6
Rosemont–La Petite Patrie;17;633;453,5;4890;3503,1;7;n.p.;280;200,6
Sainte-Anne-de-Bellevue;0;12;* 242;92;1855,6;< 5;n.p.;12;* 242
Saint-Laurent;56;723;731,6;4549;4602,9;< 5;n.p.;118;119,4
Saint-Léonard;48;805;1028;4767;6087,7;15;*19,2;84;107,3
Senneville;0;< 5;n.p.;20;* 2171,6;0;;0;
Sud-Ouest;11;329;421;2676;3424,1;< 5;n.p.;194;248,2
Verdun;18;219;316,3;2107;3043,5;< 5;n.p.;178;257,1
Ville-Marie;30;428;480;3179;3565,1;< 5;n.p.;98;109,9
Villeray–Saint-Michel–Parc-Extension;56;969;673,6;6956;4835,5;6;n.p.;145;100,8
Westmount;< 5;52;256;510;2510,8;0;;52;256
Territoire à confirmer;19;265;;1457;;< 5;;21;
Total à Montréal;760;12179;589,6;84781;4104,3;128;6,2;4023;194,8
