Sexe;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
Masculin;262;3664;357,5;44795;4370,2;80;7,8;1969;192,1
Féminin;275;3932;377,8;50488;4851,6;80;7,7;2363;227,1
Inconnu;-1;0;;116;;0;;< 5;
Total à Montréal;536;7596;367,7;95399;4618,3;160;7,7;4333;209,8
