Arrondissement ou ville liée;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
Ahuntsic–Cartierville;30;680;506,5;7551;5624,8;23;*17,1;437;325,5
Anjou;14;256;598,2;2472;5776,2;< 5;n.p.;65;151,9
Baie D'urfé;0;< 5;n.p.;67;1752,6;0;;< 5;n.p.
Beaconsfield;5;41;212,2;328;1697,4;< 5;n.p.;16;* 82,8
Côte-des-Neiges–Notre-Dame-de-Grâce;42;670;402,4;8359;5019,8;< 5;n.p.;329;197,6
Côte-Saint-Luc;7;80;246,5;1913;5895,6;< 5;n.p.;104;320,5
Dollard-des-Ormeaux;19;194;396,7;1919;3924,4;8;n.p.;115;235,2
Dorval;< 5;39;205,5;585;3082,2;0;;67;353
Hampstead;< 5;28;* 401,5;293;4201,9;0;;< 5;n.p.
Kirkland;6;25;* 124,1;485;2406,8;0;;30;* 148,9
Lachine;9;163;366,4;2176;4891,1;0;;160;359,6
LaSalle;27;266;346,1;4024;5236;11;*14,3;226;294,1
L'Île-Bizard–Sainte-Geneviève;8;64;347,6;798;4333,9;< 5;n.p.;71;385,6
Mercier–Hochelaga-Maisonneuve;33;459;337,4;6434;4730;9;n.p.;419;308
Montréal Est;0;12;* 311,7;200;5194,8;< 5;n.p.;6;n.p.
Montréal-Nord;19;543;644,6;7049;8368,4;15;*17,8;311;369,2
Montréal-Ouest;< 5;8;n.p.;118;2336,6;0;;< 5;n.p.
Mont-Royal;7;42;207,1;843;4157,6;< 5;n.p.;91;448,8
Outremont;0;51;212,9;969;4045,3;0;;19;* 79,3
Pierrefonds–Roxboro;30;271;391,1;2849;4111,3;< 5;n.p.;74;106,8
Plateau Mont-Royal;13;204;196,2;3304;3176,9;16;*15,4;166;159,6
Pointe-Claire;5;35;* 111,5;775;2469,7;0;;48;153
Rivière-des-Prairies–Pointe-aux-Trembles;41;593;555,5;6701;6277,7;10;*9,4;294;275,4
Rosemont–La Petite Patrie;27;341;244,3;5379;3853,4;14;*10;304;217,8
Sainte-Anne-de-Bellevue;< 5;13;* 262,2;106;2138;0;;12;* 242
Saint-Laurent;34;559;565,6;5261;5323,4;5;n.p.;124;125,5
Saint-Léonard;37;519;662,8;5494;7016,2;10;*12,8;108;137,9
Senneville;0;< 5;n.p.;21;* 2280,1;0;;0;
Sud-Ouest;10;178;227,8;2936;3756,8;< 5;n.p.;199;254,6
Verdun;26;159;229,7;2320;3351,2;< 5;n.p.;183;264,3
Ville-Marie;19;267;299,4;3608;4046,2;< 5;n.p.;107;120
Villeray–Saint-Michel–Parc-Extension;54;698;485,2;7904;5494,5;11;*7,6;164;114
Westmount;< 5;57;280,6;578;2845,6;0;;53;260,9
Territoire à confirmer;6;76;;1580;;< 5;;23;
Total à Montréal;536;7596;367,7;95399;4618,3;160;7,7;4333;209,8
