,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,1453,3,1438,15,28,0,1386,39,196795,738.33,19.82,14.23
02,02 - Saguenay–Lac-Saint-Jean,8674,17,8490,184,259,0,8225,190,277378,3127.14,68.50,93.37
03,03 - Capitale-Nationale,20911,81,20592,319,875,11,18764,1272,760147,2750.92,167.34,115.11
04,04 - Mauricie et Centre-du-Québec,11892,55,11666,226,430,3,10644,818,524322,2268.07,156.01,82.01
05,05 - Estrie,10241,58,9832,409,256,6,9303,682,496770,2061.52,137.29,51.53
06,06 - Montréal,90276,669,87455,2821,4220,38,78777,7279,2078464,4343.40,350.21,203.03
07,07 - Outaouais,5706,22,5330,376,149,2,5315,242,404456,1410.78,59.83,36.84
08,08 - Abitibi-Témiscamingue,669,5,635,34,5,0,591,73,147658,453.07,49.44,3.39
09,09 - Côte-Nord,339,3,325,14,3,0,325,11,89368,379.33,12.31,3.36
10,10 - Nord-du-Québec,87,0,85,2,0,0,85,2,13485,645.16,14.83,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,1685,0,1666,19,45,0,1630,10,89648,1879.57,11.15,50.20
12,12 - Chaudière-Appalaches,10641,46,10381,260,234,2,9762,645,431910,2463.71,149.34,54.18
13,13 - Laval,21226,139,19790,1436,812,3,18975,1439,446572,4753.10,322.23,181.83
14,14 - Lanaudière,18060,101,17350,710,449,2,16546,1065,524642,3442.35,203.00,85.58
15,15 - Laurentides,13881,169,13278,603,411,2,12565,905,633508,2191.13,142.86,64.88
16,16 - Montérégie,36089,311,34629,1460,1259,7,32066,2764,1443701,2499.76,191.45,87.21
17,17 - Nunavik,38,1,36,2,0,0,35,3,14413,263.65,20.81,0.00
18,18 - Terres-Cries-de-la-Baie-James,89,4,89,0,2,0,50,37,18629,477.75,198.62,10.74
98,Inconnu,5,0,5,0,0,0,5,0,           .,         .  ,         .  ,         .  
99,Hors Québec,214,1,210,4,0,0,196,18,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,252176,1685,243282,8894,9437,76,225245,17494,8591866,2935.06,203.61,109.84
