CIUSSS;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
CIUSSS de l'Ouest-de-l'Île-de-Montréal;22;226;60,4;22882;6116,3;< 5;n.p.;905;241,9
CIUSSS du Centre-Ouest-de-l'Île-de-Montréal ;20;439;116,4;26422;7006,1;< 5;n.p.;769;203,9
CIUSSS du Centre-Sud-de-l'Île-de-Montréal ;21;379;115,7;17000;5190,2;< 5;n.p.;656;200,3
CIUSSS du Nord-de-l'Île-de-Montréal ;24;386;85,8;37436;8321;< 5;n.p.;1126;250,3
CIUSSS de l'Est-de-l'Île-de-Montréal ;46;846;157,5;45557;8484;0;;1369;254,9
Territoire à confirmer;< 5;46;;2543;;0;;26;
Total à Montréal;136;2322;112,4;151840;7350,7;9;n.p.;4851;234,8
