Regroupement,Croisement,Nom,cas_tot_n,cas_0cond_n,cas_0cond_p,cas_1cond_n,cas_1cond_p,cas_2cond_n,cas_2cond_p,dec_tot_n,dec_0cond_n,dec_0cond_p,dec_1cond_n,dec_1cond_p,dec_2cond_n,dec_2cond_p
Région,RSS01,01 - Bas-Saint-Laurent,      3756,      2343,       62.4,       757,       20.2,       656,       17.5,        47,n.d.,n.d.,n.d.,n.d.,        42,       89.4
Région,RSS02,02 - Saguenay–Lac-Saint-Jean,     10619,      5502,       51.8,      2390,       22.5,      2727,       25.7,       267,        13,        4.9,        21,        7.9,       233,       87.3
Région,RSS03,03 - Capitale-Nationale,     30775,     17793,       57.8,      6082,       19.8,      6900,       22.4,      1095,        32,        2.9,        97,        8.9,       966,       88.2
Région,RSS04,04 - Mauricie et Centre-du-Québec,     14438,      8249,       57.1,      2847,       19.7,      3342,       23.1,       513,        16,        3.1,        28,        5.5,       469,       91.4
Région,RSS05,05 - Estrie,     13940,      8188,       58.7,      2722,       19.5,      3030,       21.7,       344,        10,        2.9,        30,        8.7,       304,       88.4
Région,RSS06,06 - Montréal,    113814,     65670,       57.7,     20916,       18.4,     27228,       23.9,      4649,       146,        3.1,       266,        5.7,      4237,       91.1
Région,RSS07,07 - Outaouais,     10820,      6840,       63.2,      1860,       17.2,      2120,       19.6,       210,         6,        2.9,        19,        9.0,       185,       88.1
Région,RSS08,08 - Abitibi-Témiscamingue,      1068,       630,       59.0,       249,       23.3,       189,       17.7,         9,n.d.,n.d.,n.d.,n.d.,         6,       66.7
Région,RSS09,09 - Côte-Nord,       539,       358,       66.4,        99,       18.4,        82,       15.2,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Région,RSS10,10 - Nord-du-Québec,       107,        62,       57.9,        19,       17.8,        26,       24.3,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Région,RSS11,11 - Gaspésie–Îles-de-la-Madeleine,      1956,      1008,       51.5,       405,       20.7,       543,       27.8,        45,n.d.,n.d.,n.d.,n.d.,        40,       88.9
Région,RSS12,12 - Chaudière-Appalaches,     18349,     11109,       60.5,      3590,       19.6,      3650,       19.9,       350,        10,        2.9,        32,        9.1,       308,       88.0
Région,RSS13,13 - Laval,     29497,     17986,       61.0,      5947,       20.2,      5564,       18.9,       898,        16,        1.8,        62,        6.9,       820,       91.3
Région,RSS14,14 - Lanaudière,     22961,     13717,       59.7,      4743,       20.7,      4501,       19.6,       511,        21,        4.1,        31,        6.1,       459,       89.8
Région,RSS15,15 - Laurentides,     19990,     12001,       60.0,      3970,       19.9,      4019,       20.1,       499,        25,        5.0,        36,        7.2,       438,       87.8
Région,RSS16,16 - Montérégie,     47848,     27526,       57.5,      9575,       20.0,     10747,       22.5,      1534,        51,        3.3,       103,        6.7,      1380,       90.0
Région,RSS17,17 - Nunavik,        42,        21,       50.0,         6,       14.3,        15,       35.7,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Région,RSS18,18 - Terres-Cries-de-la-Baie-James,       104,        59,       56.7,        16,       15.4,        29,       27.9,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Région,RSS997,Total Québec jumelés,    340656,    199089,       58.4,     66197,       19.4,     75370,       22.1,     10977,       352,        3.2,       735,        6.7,      9890,       90.1
Groupe d'âge,0_9,Moins de 10 ans,     28178,     24002,       85.2,      3407,       12.1,       769,        2.7,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Groupe d'âge,10_19,10-19 ans,     42704,     35341,       82.8,      6166,       14.4,      1197,        2.8,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Groupe d'âge,20_29,20-29 ans,     48172,     38847,       80.6,      7003,       14.5,      2322,        4.8,         7,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Groupe d'âge,30_39,30-39 ans,     46427,     32388,       69.8,      9778,       21.1,      4261,        9.2,        18,n.d.,n.d.,n.d.,n.d.,        13,       72.2
Groupe d'âge,40_49,40-49 ans,     51461,     32254,       62.7,     12338,       24.0,      6869,       13.3,        46,        13,       28.3,        10,       21.7,        23,       50.0
Groupe d'âge,50_59,50-59 ans,     46598,     23312,       50.0,     13296,       28.5,      9990,       21.4,       200,        33,       16.5,        31,       15.5,       136,       68.0
Groupe d'âge,60_69,60-69 ans,     28724,      9628,       33.5,      8071,       28.1,     11025,       38.4,       687,        61,        8.9,        74,       10.8,       552,       80.3
Groupe d'âge,70_79,70-79 ans,     18224,      2278,       12.5,      3481,       19.1,     12465,       68.4,      2134,        77,        3.6,       191,        9.0,      1866,       87.4
Groupe d'âge,80_89,80-89 ans,     18972,       756,        4.0,      1893,       10.0,     16323,       86.0,      4315,        82,        1.9,       260,        6.0,      3973,       92.1
Groupe d'âge,90_,90 ans et plus,     11196,       283,        2.5,       764,        6.8,     10149,       90.6,      3568,        78,        2.2,       166,        4.7,      3324,       93.2
