Arrondissement ou ville liée;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
Ahuntsic–Cartierville;17;149;111;20321;15137,2;< 5;n.p.;528;393,3
Anjou;< 5;41;95,8;6947;16232,8;< 5;n.p.;85;198,6
Baie D'urfé;-1;10;* 261,6;306;8004,2;0;;< 5;n.p.
Beaconsfield;< 5;24;* 124,2;1582;8186,7;0;;26;* 134,5
Côte-des-Neiges–Notre-Dame-de-Grâce;17;153;91,9;24190;14526,8;< 5;n.p.;408;245
Côte-Saint-Luc;7;48;147,9;5430;16734,5;0;;129;397,6
Dollard-des-Ormeaux;6;64;130,9;6250;12781,4;0;;131;267,9
Dorval;5;25;* 131,7;2119;11164,4;0;;70;368,8
Hampstead;< 5;23;* 329,8;1105;15846,8;0;;6;n.p.
Kirkland;< 5;31;* 153,8;1980;9825,8;0;;40;198,5
Lachine;7;39;87,7;6358;14291,2;< 5;n.p.;190;427,1
LaSalle;< 5;72;93,7;11229;14611;0;;260;338,3
L'Île-Bizard–Sainte-Geneviève;< 5;44;239;2437;13235,2;0;;79;429
Mercier–Hochelaga-Maisonneuve;9;132;97;19609;14415,8;0;;500;367,6
Montréal Est;0;< 5;n.p.;663;17220,8;0;;11;* 285,7
Montréal-Nord;< 5;52;61,7;15368;18244,4;< 5;n.p.;388;460,6
Montréal-Ouest;< 5;7;n.p.;570;11287,1;0;;< 5;n.p.
Mont-Royal;6;28;* 138,1;2624;12941,4;0;;95;468,5
Outremont;11;41;171,2;2884;12039,7;0;;31;* 129,4
Pierrefonds–Roxboro;< 5;71;102,5;9066;13082,8;0;;103;148,6
Plateau Mont-Royal;21;149;143,3;12676;12188,5;0;;194;186,5
Pointe-Claire;5;44;140,2;2908;9267;0;;65;207,1
Rivière-des-Prairies–Pointe-aux-Trembles;11;89;83,4;17907;16775,8;< 5;n.p.;353;330,7
Rosemont–La Petite Patrie;20;172;123,2;17916;12834,7;0;;352;252,2
Sainte-Anne-de-Bellevue;< 5;16;* 322,7;473;9540,1;0;;14;* 282,4
Saint-Laurent;6;83;84;14894;15070,6;0;;171;173
Saint-Léonard;9;65;83;14480;18491,8;0;;167;213,3
Senneville;0;< 5;n.p.;90;9772;0;;0;
Sud-Ouest;5;85;108,8;9856;12611,5;0;;228;291,7
Verdun;6;73;105,4;7700;11122,5;0;;211;304,8
Ville-Marie;5;104;116,6;12040;13502,3;< 5;n.p.;154;172,7
Villeray–Saint-Michel–Parc-Extension;10;123;85,5;22011;15301;< 5;n.p.;245;170,3
Westmount;8;40;196,9;2037;10028,6;0;;64;315,1
Territoire à confirmer;< 5;71;;7471;;0;;31;
Total à Montréal;213;2175;105,3;283498;13724,4;10;*0,5;5335;258,3
