Date;Doses du vaccin COVID-19 reçues (cumulatif);Doses du vaccin COVID-19 administrées (cumulatif);;
2022-03-16;23074695;18543224;;
2022-03-15;23074695;18537405;18537394;5830
2022-03-14;23074695;18532908;;5819
2022-03-13;23074695;18529162;;11
2022-03-12;23074695;18524925;;
2022-03-11;23074695;18514842;;
2022-03-10;23074695;18506089;;
