group,0d,1d,2d,3d,pop 2021
0-4,0,85,14,0,109960
5-11,0,81736,60025,0,149671
12-17,0,100084,92989,0,115666
18-29,0,326538,304431,0,367326
30-39,0,283970,269218,0,330128
40-49,0,251068,240829,0,281268
50-59,0,230918,223762,0,254246
60-69,0,211370,206241,0,219244
70-79,0,148220,145062,0,148691
80 plus,0,104776,100988,0,102264
Total 12+,0,1656944,1583520,0,1818833
Total,0,1738765,1643559,0,2078464
