group,1d,2d,pop 2021
0-11,505,100,1079338
12-17,485150,425100,529446
18-29,1006657,889435,1216440
30-39,936406,851677,1118629
40-49,973961,915944,1115327
50-59,1043096,993831,1155183
60-69,1093226,1069454,1168854
70-79,743599,735665,783129
80 plus,395824,385967,425520
Total 12+,6677919,6267073,7512528
Total,6678424,6267173,8591866
