,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,1395,9,1380,15,24,0,1261,110,196795,708.86,55.90,12.20
02,02 - Saguenay–Lac-Saint-Jean,8327,33,8144,183,235,0,7557,535,277378,3002.04,192.88,84.72
03,03 - Capitale-Nationale,19489,111,19187,302,759,6,16830,1900,760147,2563.85,249.95,99.85
04,04 - Mauricie et Centre-du-Québec,10942,84,10724,218,385,3,9358,1199,524322,2086.89,228.68,73.43
05,05 - Estrie,9187,135,8799,388,205,4,7859,1123,496770,1849.35,226.06,41.27
06,06 - Montréal,81136,1071,78340,2796,3977,10,68141,9018,2078464,3903.65,433.88,191.34
07,07 - Outaouais,5294,75,4944,350,133,0,4708,453,404456,1308.92,112.00,32.88
08,08 - Abitibi-Témiscamingue,546,31,512,34,5,0,363,178,147658,369.77,120.55,3.39
09,09 - Côte-Nord,317,0,304,13,3,0,303,11,89368,354.71,12.31,3.36
10,10 - Nord-du-Québec,82,4,80,2,0,0,75,7,13485,608.08,51.91,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,1669,3,1650,19,43,0,1562,64,89648,1861.73,71.39,47.97
12,12 - Chaudière-Appalaches,9596,122,9341,255,204,1,8232,1160,431910,2221.76,268.57,47.23
13,13 - Laval,19047,216,17659,1388,783,1,16092,2172,446572,4265.16,486.37,175.34
14,14 - Lanaudière,16669,133,15962,707,411,1,14756,1502,524642,3177.21,286.29,78.34
15,15 - Laurentides,12450,199,11849,601,379,5,10954,1117,633508,1965.25,176.32,59.83
16,16 - Montérégie,32426,358,30987,1439,1138,8,27390,3898,1443701,2246.03,270.00,78.83
17,17 - Nunavik,29,0,27,2,0,0,29,0,14413,201.21,0.00,0.00
18,18 - Terres-Cries-de-la-Baie-James,31,3,30,1,2,0,17,12,18629,166.41,64.42,10.74
98,Inconnu,4,0,4,0,0,0,4,0,           .,         .  ,         .  ,         .  
99,Hors Québec,185,1,182,3,0,0,172,13,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,228821,2588,220105,8716,8686,39,195663,24472,8591866,2663.23,284.83,101.10
