,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,4022,-1,3999,23,53,0,3957,12,196934.5,2042.30,6.10,26.91,1
02,02 - Saguenay-Lac-Saint-Jean,11099,4,10876,223,271,0,10814,14,277505,3999.57,5.05,97.66,2
03,03 - Capitale-Nationale,33292,11,32938,354,1119,0,32039,134,757803,4393.23,17.63,147.66,16
04,04 - Mauricie et Centre-du-Québec,16001,40,15761,240,561,0,15210,230,523331.5,3057.53,43.87,107.20,19
05,05 - Estrie,15400,25,14881,519,355,0,14849,196,494966.5,3111.32,39.45,71.72,23
06,06 - Montréal,137163,203,134232,2931,4775,0,130741,1647,2072060.5,6619.64,79.24,230.45,177
07,07 - Outaouais,12856,27,12409,447,215,0,12506,135,402744,3192.10,33.38,53.38,10
08,08 - Abitibi-Témiscamingue,1198,0,1165,33,9,0,1182,7,147637,811.45,4.74,6.10,0
09,09 - Côte-Nord,594,0,575,19,4,0,586,4,89700.5,662.20,4.48,4.46,0
10,10 - Nord-du-Québec,123,3,121,2,0,0,113,10,13521.5,909.66,74.16,0.00,0
11,11 - Gaspésie-Îles-de-la-Madeleine,2083,0,2063,20,47,0,2035,1,89823,2319.01,1.12,52.33,0
12,12 - Chaudière-Appalaches,19446,17,19164,282,367,0,19016,63,431109.5,4510.69,14.59,85.13,5
13,13 - Laval,33310,54,31448,1862,920,0,31904,486,444658.5,7491.14,108.83,206.90,65
14,14 - Lanaudière,24850,66,24138,712,517,0,23997,336,522367,4757.19,64.04,98.97,29
15,15 - Laurentides,21803,47,21199,604,510,0,21001,292,630238,3459.49,46.09,80.92,31
16,16 - Montérégie,53145,103,51176,1969,1559,0,50880,706,1438226,3695.18,48.90,108.40,72
17,17 - Nunavik,50,0,48,2,0,0,49,1,14336.5,348.76,6.94,0.00,0
18,18 - Terres-Cries-de-la-Baie-James,129,1,129,0,3,0,118,8,18507,697.03,42.94,16.21,2
98,Inconnu,4,0,3,1,0,0,4,0,.,.,.,.,0
99,Hors Québec,662,12,657,5,0,0,622,40,.,.,.,.,7
999,Ensemble du Québec,387230,612,376982,10248,11285,0,371623,4322,8565469.5,4520.83,50.30,131.75,459

