Regroupement,Croisement,Nom,Cumul,nbPrelPos,nombreSequencageA,nombreSequencageB,nombreSequencageG,NbrConfirmeDelta,NbrPresomptifDelta,Delta_Total,NbrAutres,NbrAutre2,Total_VOC,nbrNonVOC,nbrCribETSeq,nbrCrib,nbrSeq,nbrCribOUSeq,nbrDeltaPresomptif,nbrOmicronPresomptifP681R,nbrOmicronPresomptif,nbrOmicronTotalCrib,nbrOmicronSanger,nbrOmicronSeq,nbrOmicronTotalSeq,Omicron_Total
Région,RSS01,01 - Bas-Saint-Laurent,Total,3981,994,0,0,26,98,124,2863,2394,1118,469,206,1675,221,1587,0,0,2,2,0,0,0,2
Région,RSS02,02 - Saguenay-Lac-Saint-Jean,Total,4470,997,0,0,68,177,245,3228,2470,1242,758,212,1984,216,2000,0,0,3,3,0,0,0,3
Région,RSS03,03 - Capitale-Nationale,Total,21179,6280,5,11,508,714,1248,13661,10791,7518,2870,1151,9966,1075,10388,26,82,32,114,0,0,0,114
Région,RSS04,04 - Mauricie et Centre-du-Québec,Total,13105,1652,1,2,258,822,1080,10370,9826,2735,544,419,4285,375,3279,0,8,15,23,0,0,0,23
Région,RSS05,05 - Estrie,Total,16805,2033,0,11,477,811,1289,13473,12503,3332,970,622,3981,524,4302,1,2,15,17,0,0,0,17
Région,RSS06,06 - Montréal,Total,102409,13820,126,285,4126,6571,11129,77481,65369,24928,12112,6890,30222,7069,37040,432,1065,450,1515,38,0,38,1553
Région,RSS07,07 - Outaouais,Total,10450,3839,17,33,173,1053,1226,5335,5051,5115,284,238,4822,778,5399,0,6,21,27,5,0,5,32
Région,RSS08,08 - Abitibi-Témiscamingue,Total,1555,103,187,0,29,40,69,1196,1092,359,104,29,256,244,463,0,2,2,4,0,0,0,4
Région,RSS09,09 - Côte-Nord,Total,720,163,0,0,11,54,65,492,451,228,41,22,279,33,269,0,0,6,6,0,0,0,6
Région,RSS10,10 - Nord-du-Québec,Total,86,22,1,0,5,11,16,47,28,39,19,13,50,5,58,0,1,0,1,0,0,0,1
Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,Total,880,185,0,0,33,56,89,606,557,274,49,38,346,37,323,0,0,0,0,0,0,0,0
Région,RSS12,12 - Chaudière-Appalaches,Total,20517,3452,1,10,500,1547,2052,15007,14328,5510,679,874,8257,1111,6189,5,15,26,41,0,0,0,41
Région,RSS13,13 - Laval,Total,24388,3280,13,23,604,2926,3555,17542,16180,6846,1362,809,7239,963,8208,25,39,26,65,1,0,1,66
Région,RSS14,14 - Lanaudière,Total,17418,1820,38,11,366,1874,2343,13309,11496,4109,1813,734,5263,770,5922,103,71,32,103,1,0,1,104
Région,RSS15,15 - Laurentides,Total,21460,2558,33,59,436,2626,3253,15748,12983,5712,2765,1114,7483,1086,8477,191,295,65,360,1,0,1,361
Région,RSS16,16 - Montérégie,Total,41932,4291,26,155,1823,2552,4444,33085,29775,8847,3310,2485,10682,1877,12157,69,210,194,404,13,0,13,417
Région,RSS00,Inconnu,Total,1494,51,1,0,133,63,198,1246,1101,248,145,31,261,175,393,2,3,9,12,1,0,1,13
Région,RSS98,Hors-Québec,Total,1152,125,11,10,201,112,313,693,594,459,99,208,321,270,558,0,8,7,15,4,0,4,19
Région,RSS99,Ensemble du Québec,Total,304001,45665,460,610,9777,22107,32738,225382,196989,78619,28393,16095,97372,16829,107012,854,1807,905,2712,64,0,64,2776

