Regroupement,Croisement,Nom,cas_tot_n,cas_0cond_n,cas_0cond_p,cas_1cond_n,cas_1cond_p,cas_2cond_n,cas_2cond_p,dec_tot_n,dec_0cond_n,dec_0cond_p,dec_1cond_n,dec_1cond_p,dec_2cond_n,dec_2cond_p
Région,RSS01,01 - Bas-Saint-Laurent,      4874,      3078,       63.2,       937,       19.2,       859,       17.6,        64,n.d.,n.d.,n.d.,n.d.,        54,       84.4
Région,RSS02,02 - Saguenay–Lac-Saint-Jean,     11887,      6208,       52.2,      2585,       21.7,      3094,       26.0,       274,n.d.,n.d.,n.d.,n.d.,       260,       94.9
Région,RSS03,03 - Capitale-Nationale,     36471,     21762,       59.7,      6911,       18.9,      7798,       21.4,      1129,        17,        1.5,        79,        7.0,      1033,       91.5
Région,RSS04,04 - Mauricie et Centre-du-Québec,     20686,     12617,       61.0,      3866,       18.7,      4203,       20.3,       578,        11,        1.9,        24,        4.2,       543,       93.9
Région,RSS05,05 - Estrie,     23483,     14792,       63.0,      4456,       19.0,      4235,       18.0,       384,        11,        2.9,        17,        4.4,       356,       92.7
Région,RSS06,06 - Montréal,    151020,     91613,       60.7,     26545,       17.6,     32862,       21.8,      4775,       129,        2.7,       201,        4.2,      4445,       93.1
Région,RSS07,07 - Outaouais,     14087,      9346,       66.3,      2245,       15.9,      2496,       17.7,       218,         6,        2.8,        11,        5.0,       201,       92.2
Région,RSS08,08 - Abitibi-Témiscamingue,      1614,       985,       61.0,       334,       20.7,       295,       18.3,        14,n.d.,n.d.,n.d.,n.d.,        13,       92.9
Région,RSS09,09 - Côte-Nord,       880,       593,       67.4,       154,       17.5,       133,       15.1,         5,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Région,RSS10,10 - Nord-du-Québec,       133,        79,       59.4,        24,       18.0,        30,       22.6,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Région,RSS11,11 - Gaspésie–Îles-de-la-Madeleine,      2338,      1237,       52.9,       453,       19.4,       648,       27.7,        48,n.d.,n.d.,n.d.,n.d.,        44,       91.7
Région,RSS12,12 - Chaudière-Appalaches,     27143,     17312,       63.8,      5068,       18.7,      4763,       17.5,       388,         8,        2.1,        22,        5.7,       358,       92.3
Région,RSS13,13 - Laval,     39725,     25140,       63.3,      7619,       19.2,      6966,       17.5,       931,         7,        0.8,        50,        5.4,       874,       93.9
Région,RSS14,14 - Lanaudière,     30736,     19074,       62.1,      5991,       19.5,      5671,       18.5,       533,        11,        2.1,        17,        3.2,       505,       94.7
Région,RSS15,15 - Laurentides,     29620,     18646,       63.0,      5530,       18.7,      5444,       18.4,       529,        10,        1.9,        16,        3.0,       503,       95.1
Région,RSS16,16 - Montérégie,     64362,     38799,       60.3,     12245,       19.0,     13318,       20.7,      1601,        29,        1.8,        62,        3.9,      1510,       94.3
Région,RSS17,17 - Nunavik,       948,       632,       66.7,       141,       14.9,       175,       18.5,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Région,RSS18,18 - Terres-Cries-de-la-Baie-James,       142,        86,       60.6,        24,       16.9,        32,       22.5,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Région,RSS997,Total Québec jumelés,    460222,    282055,       61.3,     85141,       18.5,     93026,       20.2,     11478,       249,        2.2,       520,        4.5,     10709,       93.3
Groupe d'âge,0_9,Moins de 10 ans,     52749,     44941,       85.2,      6336,       12.0,      1472,        2.8,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Groupe d'âge,10_19,10-19 ans,     62667,     52350,       83.5,      8557,       13.7,      1760,        2.8,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Groupe d'âge,20_29,20-29 ans,     65305,     52471,       80.3,      9479,       14.5,      3355,        5.1,         9,n.d.,n.d.,n.d.,n.d.,         6,       66.7
Groupe d'âge,30_39,30-39 ans,     65661,     45744,       69.7,     13584,       20.7,      6333,        9.6,        25,n.d.,n.d.,n.d.,n.d.,        20,       80.0
Groupe d'âge,40_49,40-49 ans,     68286,     43089,       63.1,     16019,       23.5,      9178,       13.4,        63,        14,       22.2,        13,       20.6,        36,       57.1
Groupe d'âge,50_59,50-59 ans,     56654,     28344,       50.0,     15575,       27.5,     12735,       22.5,       236,        18,        7.6,        17,        7.2,       201,       85.2
Groupe d'âge,60_69,60-69 ans,     35092,     11632,       33.1,      9498,       27.1,     13962,       39.8,       759,        42,        5.5,        62,        8.2,       655,       86.3
Groupe d'âge,70_79,70-79 ans,     21564,      2591,       12.0,      3777,       17.5,     15196,       70.5,      2253,        41,        1.8,       125,        5.5,      2087,       92.6
Groupe d'âge,80_89,80-89 ans,     20578,       654,        3.2,      1681,        8.2,     18243,       88.7,      4465,        60,        1.3,       172,        3.9,      4233,       94.8
Groupe d'âge,90_,90 ans et plus,     11666,       239,        2.0,       635,        5.4,     10792,       92.5,      3666,        68,        1.9,       129,        3.5,      3469,       94.6
