CIUSSS;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
CIUSSS de l'Ouest-de-l'Île-de-Montréal;29;447;119,5;44926;12008,5;< 5;n.p.;982;262,5
CIUSSS du Centre-Ouest-de-l'Île-de-Montréal ;47;468;124,1;48672;12906;< 5;n.p.;840;222,7
CIUSSS du Centre-Sud-de-l'Île-de-Montréal ;39;388;118,5;37140;11339;< 5;n.p.;722;220,4
CIUSSS du Nord-de-l'Île-de-Montréal ;29;398;88,5;64990;14445,6;< 5;n.p.;1250;277,8
CIUSSS de l'Est-de-l'Île-de-Montréal ;52;473;88,1;80376;14968,3;< 5;n.p.;1512;281,6
Territoire à confirmer;9;103;;8321;;0;;32;
Total à Montréal;205;2277;110,2;284425;13769,2;8;n.p.;5338;258,4
