,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,1456,1,1441,15,29,0,1402,25,196795,739.86,12.70,14.74
02,02 - Saguenay–Lac-Saint-Jean,8700,10,8515,185,259,0,8277,164,277378,3136.51,59.13,93.37
03,03 - Capitale-Nationale,21033,60,20713,320,889,5,18990,1154,760147,2766.96,151.81,116.95
04,04 - Mauricie et Centre-du-Québec,11977,44,11751,226,431,0,10814,732,524322,2284.28,139.61,82.20
05,05 - Estrie,10343,50,9933,410,260,3,9464,619,496770,2082.05,124.60,52.34
06,06 - Montréal,91334,478,88511,2823,4248,17,80201,6885,2078464,4394.30,331.25,204.38
07,07 - Outaouais,5752,23,5374,378,150,0,5392,210,404456,1422.16,51.92,37.09
08,08 - Abitibi-Témiscamingue,678,5,644,34,5,0,624,49,147658,459.17,33.18,3.39
09,09 - Côte-Nord,340,0,326,14,3,0,328,9,89368,380.45,10.07,3.36
10,10 - Nord-du-Québec,87,0,85,2,0,0,86,1,13485,645.16,7.42,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,1685,0,1666,19,45,0,1631,9,89648,1879.57,10.04,50.20
12,12 - Chaudière-Appalaches,10720,26,10460,260,242,6,9899,579,431910,2482.00,134.06,56.03
13,13 - Laval,21460,112,20021,1439,813,1,19342,1305,446572,4805.50,292.23,182.05
14,14 - Lanaudière,18220,70,17510,710,455,3,16750,1015,524642,3472.84,193.47,86.73
15,15 - Laurentides,14057,93,13455,602,415,1,12738,904,633508,2218.91,142.70,65.51
16,16 - Montérégie,36631,219,35154,1477,1275,7,32654,2702,1443701,2537.30,187.16,88.31
17,17 - Nunavik,39,0,37,2,0,0,35,4,14413,270.59,27.75,0.00
18,18 - Terres-Cries-de-la-Baie-James,102,10,102,0,2,0,56,44,18629,547.53,236.19,10.74
98,Inconnu,5,0,5,0,0,0,5,0,           .,         .  ,         .  ,         .  
99,Hors Québec,217,2,213,4,0,0,199,18,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,254836,1203,245916,8920,9521,43,228887,16428,8591866,2966.01,191.20,110.81
