group,0d,1d,2d,3d,pop 2021
0-4,0,4923,745,0,109960
5-11,0,76369,59128,0,149671
12-17,0,99101,92488,0,115666
18-29,0,322012,301011,0,367326
30-39,0,282151,268108,0,330128
40-49,0,252069,242493,0,281268
50-59,0,229818,223136,0,254246
60-69,0,213264,207966,0,219244
70-79,0,151781,148425,0,148691
80 plus,0,110081,106332,0,102264
Total 12+,0,1660277,1589959,0,1818833
Total,0,1741569,1649832,0,2078464
