Arrondissement ou ville liée;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
Ahuntsic–Cartierville;43;278;207,1;12463;9283,8;0;;492;366,5
Anjou;8;154;359,8;4243;9914,5;0;;79;184,6
Baie D'urfé;0;< 5;n.p.;114;2982;0;;< 5;n.p.
Beaconsfield;< 5;27;* 139,7;643;3327,5;0;;21;* 108,7
Côte-des-Neiges–Notre-Dame-de-Grâce;30;400;240,2;14061;8444;0;;372;223,4
Côte-Saint-Luc;12;89;274,3;3375;10401,3;0;;120;369,8
Dollard-des-Ormeaux;0;104;212,7;3427;7008,3;0;;125;255,6
Dorval;0;38;200,2;957;5042,1;0;;69;363,5
Hampstead;< 5;21;* 301,2;542;7772,8;0;;6;n.p.
Kirkland;-1;23;* 114,1;925;4590,3;0;;36;* 178,7
Lachine;5;58;130,4;3464;7786,2;0;;171;384,4
LaSalle;9;125;162,6;6606;8595,6;0;;247;321,4
L'Île-Bizard–Sainte-Geneviève;0;55;298,7;1239;6728,9;0;;76;412,8
Mercier–Hochelaga-Maisonneuve;34;302;222;10587;7783,2;0;;452;332,3
Montréal Est;6;29;* 753,2;368;9558,4;0;;9;* 233,8
Montréal-Nord;14;163;193,5;10574;12553,1;0;;338;401,3
Montréal-Ouest;< 5;19;* 376,2;263;5207,9;0;;< 5;n.p.
Mont-Royal;8;51;251,5;1332;6569,3;0;;94;463,6
Outremont;< 5;54;225,4;1498;6253,7;0;;29;* 121,1
Pierrefonds–Roxboro;11;172;248,2;5140;7417,3;0;;88;127
Plateau Mont-Royal;19;183;176;5769;5547,1;0;;172;165,4
Pointe-Claire;< 5;60;191,2;1289;4107,7;0;;56;178,5
Rivière-des-Prairies–Pointe-aux-Trembles;25;292;273,6;11075;10375,4;0;;323;302,6
Rosemont–La Petite Patrie;17;334;239,3;8649;6196;0;;328;235
Sainte-Anne-de-Bellevue;0;< 5;n.p.;194;3912,9;0;;13;* 262,2
Saint-Laurent;20;179;181,1;9794;9910,1;0;;159;160,9
Saint-Léonard;18;293;374,2;9621;12286,6;< 5;n.p.;150;191,6
Senneville;< 5;< 5;n.p.;35;* 3800,2;0;;0;
Sud-Ouest;10;141;180,4;4870;6231,5;0;;209;267,4
Verdun;7;108;156;3818;5515;< 5;n.p.;202;291,8
Ville-Marie;11;138;154,8;5986;6713;< 5;n.p.;131;146,9
Villeray–Saint-Michel–Parc-Extension;23;355;246,8;13213;9185,1;0;;206;143,2
Westmount;< 5;34;* 167,4;919;4524,4;0;;57;280,6
Territoire à confirmer;< 5;47;;2255;;< 5;;27;
Total à Montréal;347;4332;209,7;159308;7712,2;5;n.p.;4863;235,4
