CIUSSS;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
CIUSSS de l'Ouest-de-l'Île-de-Montréal;28;669;178,8;24074;6434,9;0;;906;242,2
CIUSSS du Centre-Ouest-de-l'Île-de-Montréal ;70;753;199,7;27713;7348,5;0;;769;203,9
CIUSSS du Centre-Sud-de-l'Île-de-Montréal ;42;523;159,7;17850;5449,7;< 5;n.p.;659;201,2
CIUSSS du Nord-de-l'Île-de-Montréal ;85;860;191,2;39042;8678;0;;1127;250,5
CIUSSS de l'Est-de-l'Île-de-Montréal ;120;1474;274,5;47995;8938;< 5;n.p.;1374;255,9
Territoire à confirmer;< 5;53;;2634;;< 5;;28;
Total à Montréal;347;4332;209,7;159308;7712,2;5;n.p.;4863;235,4
