Regroupement,Croisement,Nom,Cumul,nbPrelPos,nombreSequencageA,nombreSequencageB,nombreSequencageG,NbrConfirmeDelta,nbrDeltaHospit,NbrPresomptifDelta,nbrDeltaPresomptif,nbrCriblageDelta,Delta_Total,NbrAutres,NbrAutre2,Total_VOC,nbrNonVOC,nbrCribETSeq,nbrCrib,nbrSeq,nbrCribOUSeq,nbrOmicronPresomptifP681R,nbrOmicronPresomptif,nbrCriblageBA1,nbrCriblageBA2,nbrCriblageBA1LSPQ,nbrCriblageBA2LSPQ,nbrOmicronTotalCrib,nbrBA2SANGER,nbrOmicronSanger,nbrSeqBA2,nbrOmicronSeq,nbrOmicronTotalSeq,Omicron_Total
Région,RSS01,01 - Bas-Saint-Laurent,Total,16395,994,0,0,81,3,97,1,0,182,15065,14594,1330,471,207,1674,418,1801,0,18,3,0,0,0,21,0,0,10,133,133,154
Région,RSS02,02 - Saguenay-Lac-Saint-Jean,Total,19012,997,0,0,111,10,177,0,0,298,17605,16840,1407,765,212,1984,376,2172,0,27,9,0,0,0,36,0,0,3,76,76,112
Région,RSS03,03 - Capitale-Nationale,Total,62241,6282,5,11,628,0,711,52,0,1391,52486,49586,9755,2900,1155,9965,1655,12655,14,313,1262,130,17,73,1809,0,0,18,257,257,2066
Région,RSS04,04 - Mauricie et Centre-du-Québec,Total,42638,1652,1,2,333,96,822,1,0,1252,39154,38595,3484,559,419,4284,758,4043,7,417,4,0,0,0,428,0,0,53,149,149,577
Région,RSS05,05 - Estrie,Total,36580,2033,0,11,703,14,810,1,0,1528,32741,31752,3839,989,623,3981,1212,4828,4,32,3,0,1,1,41,0,0,11,226,226,267
Région,RSS06,06 - Montréal,Total,214691,13821,126,285,4441,54,6570,516,3,11584,183371,168727,31320,14644,6891,30223,10054,45964,2129,864,1209,357,140,263,4962,1,21,120,520,542,5504
Région,RSS07,07 - Outaouais,Total,30825,3838,17,33,221,2,1053,0,0,1276,25524,24545,5301,979,239,4820,1010,6280,7,34,3,1,0,0,45,0,2,17,90,92,137
Région,RSS08,08 - Abitibi-Témiscamingue,Total,8394,103,187,0,38,1,40,2,0,81,7956,7658,438,298,29,256,316,736,0,5,1,0,0,1,7,0,0,5,60,60,67
Région,RSS09,09 - Côte-Nord,Total,6671,163,0,0,14,0,54,0,0,68,6398,6357,273,41,22,279,63,314,0,6,8,2,0,0,16,0,0,2,26,26,42
Région,RSS10,10 - Nord-du-Québec,Total,961,22,1,0,5,0,11,1,0,17,913,893,48,20,13,50,11,68,1,0,3,0,0,0,4,0,0,0,4,4,8
Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,Total,5927,185,0,0,34,0,56,1,0,91,5580,5531,347,49,38,346,112,396,0,3,3,0,0,0,6,0,0,14,65,65,71
Région,RSS12,12 - Chaudière-Appalaches,Total,49484,3450,1,10,611,13,1541,6,0,2171,43466,42217,6018,1249,881,8248,1535,7267,1,88,96,7,1,4,197,0,0,37,189,189,386
Région,RSS13,13 - Laval,Total,50395,3280,13,23,637,3,2926,34,0,3600,42810,39750,7585,3060,809,7239,1529,10645,124,40,285,10,46,40,545,0,1,27,123,124,669
Région,RSS14,14 - Lanaudière,Total,49932,1819,38,11,530,13,1868,104,0,2515,44652,42328,5280,2324,740,5257,1379,7604,110,111,400,5,53,11,690,0,2,24,205,207,897
Région,RSS15,15 - Laurentides,Total,61596,2559,33,59,550,7,2626,199,0,3382,53862,50798,7734,3064,1114,7485,1843,10798,457,224,621,4,39,22,1367,0,1,33,333,334,1701
Région,RSS16,16 - Montérégie,Total,106036,4291,26,155,1991,46,2552,80,0,4669,95327,91003,10709,4324,2485,10682,3618,15033,374,514,63,10,37,22,1020,0,10,119,538,548,1568
Région,RSS00,Inconnu,Total,5124,52,1,0,259,1,64,2,0,326,4658,4464,466,194,31,263,379,660,5,14,9,1,1,0,30,0,1,1,56,57,87
Région,RSS98,Hors-Québec,Total,5396,125,11,10,205,2,112,0,0,319,4849,4728,547,121,208,320,358,668,16,15,4,0,0,0,35,0,1,16,46,47,82
Région,RSS99,Ensemble du Québec,Total,772298,45666,460,610,11392,265,22090,1000,3,34750,676417,640366,95881,36051,16116,97356,26626,131932,3249,2725,3986,527,335,437,11259,1,39,510,3096,3136,14395

