,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,4137,7,4115,22,54,0,4024,59,196934.5,2100.70,29.98,27.42,7
02,02 - Saguenay-Lac-Saint-Jean,11292,5,11073,219,271,0,10982,39,277505,4069.12,14.06,97.66,6
03,03 - Capitale-Nationale,34204,42,33850,354,1122,0,32870,212,757803,4513.57,27.89,148.06,35
04,04 - Mauricie et Centre-du-Québec,17130,39,16893,237,569,0,16315,246,523331.5,3273.26,46.92,108.73,40
05,05 - Estrie,16666,40,16157,509,365,1,16050,251,494966.5,3367.10,50.53,73.74,29
06,06 - Montréal,146050,180,143117,2933,4813,1,139632,1605,2072060.5,7048.54,77.22,232.28,201
07,07 - Outaouais,13926,25,13478,448,222,0,13504,200,402744,3457.78,49.45,55.12,23
08,08 - Abitibi-Témiscamingue,1246,3,1213,33,9,0,1223,14,147637,843.96,9.48,6.10,0
09,09 - Côte-Nord,624,4,604,20,5,1,605,14,89700.5,695.65,15.67,5.57,0
10,10 - Nord-du-Québec,136,0,134,2,0,0,136,0,13521.5,1005.81,0.00,0.00,0
11,11 - Gaspésie-Îles-de-la-Madeleine,2170,7,2149,21,47,0,2098,25,89823,2415.86,27.89,52.33,3
12,12 - Chaudière-Appalaches,21121,58,20847,274,373,0,20289,459,431109.5,4899.22,106.27,86.52,46
13,13 - Laval,36291,55,34369,1922,931,0,34866,494,444658.5,8161.54,110.62,209.37,63
14,14 - Lanaudière,26794,41,26084,710,523,0,25949,322,522367,5129.34,61.38,100.12,39
15,15 - Laurentides,24408,68,23806,602,520,0,23456,432,630238,3872.82,68.19,82.51,50
16,16 - Montérégie,57025,68,55099,1926,1580,2,54707,738,1438226,3964.95,51.12,109.86,85
17,17 - Nunavik,52,0,50,2,0,0,52,0,14336.5,362.71,0.00,0.00,0
18,18 - Terres-Cries-de-la-Baie-James,142,0,142,0,5,0,136,1,18507,767.28,5.37,27.02,0
98,Inconnu,4,0,3,1,0,0,4,0,.,.,.,.,0
99,Hors Québec,1155,1,1148,7,1,0,1135,19,.,.,.,.,2
999,Ensemble du Québec,414573,643,404331,10242,11410,5,398033,5130,8565469.5,4840.05,59.71,133.21,629

