Regroupement,Croisement,Nom,Cumul,nbPrelPos,nombreSequencageA,nombreSequencageB,nombreSequencageG,NbrConfirmeDelta,NbrPresomptifDelta,Delta_Total,NbrAutres,Total_VOC,nbrNonVOC,nbrCribETSeq,nbrCrib,nbrSeq,nbrCribOUSeq
Région,RSS01,01 - Bas-Saint-Laurent,Total,2773,994,0,0,5,48,53,1726,1047,1676,186,1621,220,1535
Région,RSS02,02 - Saguenay-Lac-Saint-Jean,Total,3309,997,0,0,9,164,173,2139,1170,2085,163,1982,204,1941
Région,RSS03,03 - Capitale-Nationale,Total,15489,6274,5,11,171,767,938,8261,7228,10311,831,9943,1050,10338
Région,RSS04,04 - Mauricie et Centre-du-Québec,Total,6827,1652,1,2,67,764,831,4341,2486,4233,265,4005,371,3095
Région,RSS05,05 - Estrie,Total,8025,2035,0,11,121,807,928,5051,2974,4179,366,3901,356,3988
Région,RSS06,06 - Montréal,Total,72029,13822,126,284,1972,7067,9039,48758,23271,35430,4634,31134,5574,38182
Région,RSS07,07 - Outaouais,Total,7997,3839,17,33,98,882,980,3128,4869,5947,173,4635,1129,6229
Région,RSS08,08 - Abitibi-Témiscamingue,Total,890,100,193,0,10,24,34,563,327,453,13,239,236,611
Région,RSS09,09 - Côte-Nord,Total,316,162,0,0,3,21,24,130,186,259,14,241,35,232
Région,RSS10,10 - Nord-du-Québec,Total,64,22,2,0,2,13,15,25,39,63,4,58,5,60
Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,Total,569,185,0,0,5,63,68,316,253,388,14,351,36,324
Région,RSS12,12 - Chaudière-Appalaches,Total,12431,3452,1,10,38,1317,1355,7613,4818,8822,495,8002,766,6059
Région,RSS13,13 - Laval,Total,18256,3278,13,23,384,2740,3124,11818,6438,9461,569,7096,875,9533
Région,RSS14,14 - Lanaudière,Total,10986,1820,38,11,172,1706,1878,7239,3747,6185,487,5234,692,6192
Région,RSS15,15 - Laurentides,Total,12612,2559,33,59,212,2333,2545,7416,5196,7950,874,7262,977,8303
Région,RSS16,16 - Montérégie,Total,26045,4290,25,155,870,2803,3673,17902,8143,14077,1550,11021,1989,13342
Région,RSS00,Inconnu,Total,478,50,1,0,18,57,75,352,126,421,21,250,88,331
Région,RSS98,Hors-Québec,Total,825,124,11,10,138,133,271,409,416,424,159,342,229,550
Région,RSS99,Ensemble du Québec,Total,199921,45655,466,609,4295,21709,26004,127187,72734,112364,10818,97317,14832,110845

