CIUSSS;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
CIUSSS de l'Ouest-de-l'Île-de-Montréal;21;224;59,9;22860;6110,4;< 5;n.p.;905;241,9
CIUSSS du Centre-Ouest-de-l'Île-de-Montréal ;23;443;117,5;26402;7000,8;< 5;n.p.;769;203,9
CIUSSS du Centre-Sud-de-l'Île-de-Montréal ;19;382;116,6;16979;5183,8;< 5;n.p.;656;200,3
CIUSSS du Nord-de-l'Île-de-Montréal ;27;386;85,8;37412;8315,7;< 5;n.p.;1126;250,3
CIUSSS de l'Est-de-l'Île-de-Montréal ;65;826;153,8;45511;8475,5;0;;1369;254,9
Territoire à confirmer;< 5;45;;2540;;0;;26;
Total à Montréal;157;2306;111,6;151704;7344,1;10;* 0,5;4851;234,8
