Regroupement,Croisement,Nom,nbPrelPos,nombreSequencageA,nombreSequencageB,nombreSequencageG,NbrConfirmeDelta,NbrPresomptifDelta,NbrAutres,Total_VOC,nbrNonVOC,nbrCribETSeq,nbrCrib,nbrSeq,nbrCribOUSeq
Région,RSS01,01 - Bas-Saint-Laurent,2724,994,,,5,19,1706,1018,1642,186,1587,220,1504
Région,RSS02,02 - Saguenay-Lac-Saint-Jean,3269,997,,,8,116,2148,1121,2046,162,1943,203,1892
Région,RSS03,03 - Capitale-Nationale,15304,6274,5,11,170,629,8215,7089,10089,830,9721,1050,10196
Région,RSS04,04 - Mauricie et Centre-du-Québec,6616,1651,1,2,66,651,4245,2371,4017,263,3789,369,2978
Région,RSS05,05 - Estrie,7819,2035,,11,120,683,4970,2849,4018,357,3736,399,3846
Région,RSS06,06 - Montréal,71047,13822,126,284,1796,6232,48787,22260,34502,4447,30217,5553,37163
Région,RSS07,07 - Outaouais,7856,3839,17,33,96,754,3117,4739,5814,171,4502,1128,6099
Région,RSS08,08 - Abitibi-Témiscamingue,878,100,193,,10,20,555,323,449,13,235,236,607
Région,RSS09,09 - Côte-Nord,301,162,,,3,17,119,182,255,14,237,35,228
Région,RSS10,10 - Nord-du-Québec,64,22,2,,2,13,25,39,63,4,58,5,60
Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,553,185,,,5,46,317,236,370,13,334,36,306
Région,RSS12,12 - Chaudière-Appalaches,12047,3452,1,10,31,999,7554,4493,8450,488,7630,766,5714
Région,RSS13,13 - Laval,17936,3278,13,23,374,2354,11894,6042,9056,557,6693,874,9123
Région,RSS14,14 - Lanaudière,10788,1820,38,11,170,1511,7238,3550,5977,484,5027,689,6015
Région,RSS15,15 - Laurentides,12310,2559,33,59,207,1974,7478,4832,7587,869,6900,974,7980
Région,RSS16,16 - Montérégie,25600,4290,25,155,832,2385,17913,7687,13632,1505,10587,1983,12871
Région,RSS00,Inconnu,467,50,1,,18,54,344,123,416,21,245,88,328
Région,RSS98,Hors-Québec,811,124,11,10,128,131,407,404,422,149,340,220,540
Région,RSS99,Ensemble du Québec,196390,45654,466,609,4041,18588,127032,69358,108805,10533,93781,14828,107450

