,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,4081,4,4059,22,54,0,4002,25,196934.5,2072.26,12.70,27.42,0
02,02 - Saguenay-Lac-Saint-Jean,11253,-5,11034,219,271,0,10949,33,277505,4055.06,11.90,97.66,0
03,03 - Capitale-Nationale,34014,18,33660,354,1122,1,32653,239,757803,4488.50,31.44,148.06,4
04,04 - Mauricie et Centre-du-Québec,16923,23,16686,237,568,2,16145,210,523331.5,3233.71,40.05,108.54,21
05,05 - Estrie,16467,40,15958,509,360,0,15843,264,494966.5,3326.89,53.14,72.73,43
06,06 - Montréal,145015,79,142081,2934,4803,2,138200,2012,2072060.5,6998.59,96.80,231.80,131
07,07 - Outaouais,13746,30,13300,446,221,1,13347,178,402744,3413.09,44.01,54.87,18
08,08 - Abitibi-Témiscamingue,1232,-1,1199,33,9,0,1214,9,147637,834.48,6.10,6.10,0
09,09 - Côte-Nord,608,-2,588,20,4,0,594,10,89700.5,677.81,11.19,4.46,-2
10,10 - Nord-du-Québec,136,0,134,2,0,0,135,1,13521.5,1005.81,7.42,0.00,1
11,11 - Gaspésie-Îles-de-la-Madeleine,2149,-5,2129,20,47,0,2085,17,89823,2392.48,18.96,52.33,-2
12,12 - Chaudière-Appalaches,20718,45,20444,274,370,0,19942,406,431109.5,4805.74,94.00,85.83,44
13,13 - Laval,35968,57,34050,1918,931,0,34415,622,444658.5,8088.90,139.28,209.37,45
14,14 - Lanaudière,26575,6,25865,710,521,0,25625,429,522367,5087.42,81.77,99.74,9
15,15 - Laurentides,24090,50,23487,603,517,0,23074,499,630238,3822.37,78.77,82.03,32
16,16 - Montérégie,56510,-61,54581,1929,1573,-1,54070,867,1438226,3929.15,60.05,109.37,-16
17,17 - Nunavik,51,0,49,2,0,0,50,1,14336.5,355.74,6.94,0.00,0
18,18 - Terres-Cries-de-la-Baie-James,142,0,142,0,5,0,135,2,18507,767.28,10.74,27.02,0
98,Inconnu,4,0,3,1,0,0,4,0,.,.,.,.,0
99,Hors Québec,1141,365,1134,7,1,1,1113,27,.,.,.,.,352
999,Ensemble du Québec,410823,643,400583,10240,11377,6,393595,5851,8565469.5,4796.27,68.10,132.82,680

