group,1d,2d,pop 2021
0-11,407,61,1079338
12-17,429241,221267,529446
18-29,874294,579767,1216440
30-39,852133,632611,1118629
40-49,916411,740661,1115327
50-59,1004895,858463,1155183
60-69,1074332,992914,1168854
70-79,736009,710560,783129
80 plus,392892,375218,425520
Total 12+,6280207,5111461,7512528
Total,6280614,5111522,8591866
