Regroupement,Croisement,Nom,cas_tot_n,cas_0cond_n,cas_0cond_p,cas_1cond_n,cas_1cond_p,cas_2cond_n,cas_2cond_p,dec_tot_n,dec_0cond_n,dec_0cond_p,dec_1cond_n,dec_1cond_p,dec_2cond_n,dec_2cond_p
Région,RSS01,Bas-Saint-Laurent,      1436,       795,       55.4,       305,       21.2,       336,       23.4,        30,n.d.,n.d.,n.d.,n.d.,        28,       93.3
Région,RSS02,Saguenay–Lac-Saint-Jean,      8560,      4242,       49.6,      1927,       22.5,      2391,       27.9,       260,        12,        4.6,        20,        7.7,       228,       87.7
Région,RSS03,Capitale-Nationale,     20493,     11193,       54.6,      3968,       19.4,      5332,       26.0,       942,        24,        2.5,        78,        8.3,       840,       89.2
Région,RSS04,Mauricie et Centre-du-Québec,     11887,      6553,       55.1,      2352,       19.8,      2982,       25.1,       472,        16,        3.4,        24,        5.1,       432,       91.5
Région,RSS05,Estrie,     10314,      5827,       56.5,      2032,       19.7,      2455,       23.8,       281,n.d.,n.d.,n.d.,n.d.,       256,       91.1
Région,RSS06,Montréal,     85868,     46941,       54.7,     15695,       18.3,     23232,       27.1,      4297,       120,        2.8,       221,        5.1,      3956,       92.1
Région,RSS07,Outaouais,      5296,      3056,       57.7,       928,       17.5,      1312,       24.8,       154,n.d.,n.d.,n.d.,n.d.,       138,       89.6
Région,RSS08,Abitibi-Témiscamingue,       698,       414,       59.3,       165,       23.6,       119,       17.0,         5,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Région,RSS09,Côte-Nord,       321,       201,       62.6,        65,       20.2,        55,       17.1,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Région,RSS10,Nord-du-Québec,        85,        46,       54.1,        15,       17.6,        24,       28.2,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Région,RSS11,Gaspésie–Îles-de-la-Madeleine,      1649,       804,       48.8,       354,       21.5,       491,       29.8,        45,n.d.,n.d.,n.d.,n.d.,        40,       88.9
Région,RSS12,Chaudière-Appalaches,     10954,      6268,       57.2,      2183,       19.9,      2503,       22.9,       273,         6,        2.2,        24,        8.8,       243,       89.0
Région,RSS13,Laval,     21821,     12860,       58.9,      4394,       20.1,      4567,       20.9,       840,         9,        1.1,        55,        6.5,       776,       92.4
Région,RSS14,Lanaudière,     18519,     10802,       58.3,      3838,       20.7,      3879,       20.9,       470,        16,        3.4,        27,        5.7,       427,       90.9
Région,RSS15,Laurentides,     14678,      8431,       57.4,      2900,       19.8,      3347,       22.8,       449,        16,        3.6,        31,        6.9,       402,       89.5
Région,RSS16,Montérégie,     37390,     20648,       55.2,      7449,       19.9,      9293,       24.9,      1387,        43,        3.1,        78,        5.6,      1266,       91.3
Région,RSS17,Nunavik,        36,        20,       55.6,         5,       13.9,        11,       30.6,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Région,RSS18,Terres-Cries-de-la-Baie-James,       100,        58,       58.0,        14,       14.0,        28,       28.0,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Région,RSS997,Total Québec jumelés,    250127,    139178,       55.6,     48590,       19.4,     62359,       24.9,      9910,       275,        2.8,       596,        6.0,      9039,       91.2
Groupe d'âge,0_9,Moins de 10 ans,     17255,     14526,       84.2,      2212,       12.8,       517,        3.0,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Groupe d'âge,10_19,10-19 ans,     28666,     23694,       82.7,      4162,       14.5,       810,        2.8,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Groupe d'âge,20_29,20-29 ans,     35309,     28426,       80.5,      5180,       14.7,      1703,        4.8,         5,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Groupe d'âge,30_39,30-39 ans,     33319,     23065,       69.2,      7064,       21.2,      3190,        9.6,        13,n.d.,n.d.,n.d.,n.d.,         9,       69.2
Groupe d'âge,40_49,40-49 ans,     37276,     23000,       61.7,      9074,       24.3,      5202,       14.0,        33,         9,       27.3,         6,       18.2,        18,       54.5
Groupe d'âge,50_59,50-59 ans,     34418,     16923,       49.2,      9882,       28.7,      7613,       22.1,       158,        24,       15.2,        21,       13.3,       113,       71.5
Groupe d'âge,60_69,60-69 ans,     21513,      6991,       32.5,      5993,       27.9,      8529,       39.6,       560,        40,        7.1,        47,        8.4,       473,       84.5
Groupe d'âge,70_79,70-79 ans,     14933,      1702,       11.4,      2700,       18.1,     10531,       70.5,      1862,        62,        3.3,       145,        7.8,      1655,       88.9
Groupe d'âge,80_89,80-89 ans,     17024,       605,        3.6,      1632,        9.6,     14787,       86.9,      3970,        63,        1.6,       227,        5.7,      3680,       92.7
Groupe d'âge,90_,90 ans et plus,     10414,       246,        2.4,       691,        6.6,      9477,       91.0,      3308,        71,        2.1,       147,        4.4,      3090,       93.4
