,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,4031,5,4008,23,53,0,3968,10,196934.5,2046.87,5.08,26.91,3
02,02 - Saguenay-Lac-Saint-Jean,11122,8,10899,223,271,0,10830,21,277505,4007.86,7.57,97.66,7
03,03 - Capitale-Nationale,33387,27,33034,353,1119,0,32148,120,757803,4405.76,15.79,147.66,20
04,04 - Mauricie et Centre-du-Québec,16159,23,15919,240,561,0,15367,231,523331.5,3087.72,44.06,107.20,22
05,05 - Estrie,15528,32,15017,511,355,0,14987,186,494966.5,3137.18,37.44,71.72,18
06,06 - Montréal,138340,232,135406,2934,4775,0,131720,1845,2072060.5,6676.45,88.77,230.45,131
07,07 - Outaouais,12985,27,12538,447,215,0,12584,186,402744,3224.13,45.99,53.38,12
08,08 - Abitibi-Témiscamingue,1203,3,1170,33,9,0,1188,6,147637,814.84,4.06,6.10,1
09,09 - Côte-Nord,594,0,575,19,4,0,586,4,89700.5,662.20,4.48,4.46,0
10,10 - Nord-du-Québec,129,1,127,2,0,0,115,14,13521.5,954.04,103.82,0.00,1
11,11 - Gaspésie-Îles-de-la-Madeleine,2086,0,2066,20,47,0,2035,4,89823,2322.35,4.46,52.33,0
12,12 - Chaudière-Appalaches,19521,24,19241,280,368,0,19055,98,431109.5,4528.08,22.69,85.36,6
13,13 - Laval,33722,63,31850,1872,921,0,32183,618,444658.5,7583.80,138.39,207.13,35
14,14 - Lanaudière,25136,56,24425,711,517,0,24169,450,522367,4811.94,85.77,98.97,26
15,15 - Laurentides,22104,66,21500,604,511,0,21206,387,630238,3507.25,61.09,81.08,32
16,16 - Montérégie,53683,126,51726,1957,1560,1,51299,824,1438226,3732.58,57.08,108.47,51
17,17 - Nunavik,50,0,48,2,0,0,50,0,14336.5,348.76,0.00,0.00,0
18,18 - Terres-Cries-de-la-Baie-James,137,5,137,0,3,0,123,11,18507,740.26,59.05,16.21,0
98,Inconnu,4,0,3,1,0,0,4,0,.,.,.,.,0
99,Hors Québec,692,1,687,5,0,0,649,43,.,.,.,.,4
999,Ensemble du Québec,390613,699,380376,10237,11289,1,374266,5058,8565469.5,4560.32,58.87,131.80,369

