Regroupement,Croisement,Nom,cas_tot_n,cas_0cond_n,cas_0cond_p,cas_1cond_n,cas_1cond_p,cas_2cond_n,cas_2cond_p,dec_tot_n,dec_0cond_n,dec_0cond_p,dec_1cond_n,dec_1cond_p,dec_2cond_n,dec_2cond_p
Région,RSS01,01 - Bas-Saint-Laurent,      3857,      2407,       62.4,       769,       19.9,       681,       17.7,        53,n.d.,n.d.,n.d.,n.d.,        45,       84.9
Région,RSS02,02 - Saguenay–Lac-Saint-Jean,     10819,      5627,       52.0,      2437,       22.5,      2755,       25.5,       269,        13,        4.8,        21,        7.8,       235,       87.4
Région,RSS03,03 - Capitale-Nationale,     31384,     18228,       58.1,      6184,       19.7,      6972,       22.2,      1107,        32,        2.9,       100,        9.0,       975,       88.1
Région,RSS04,04 - Mauricie et Centre-du-Québec,     15343,      8954,       58.4,      2973,       19.4,      3416,       22.3,       557,        18,        3.2,        31,        5.6,       508,       91.2
Région,RSS05,05 - Estrie,     14566,      8621,       59.2,      2859,       19.6,      3086,       21.2,       350,        11,        3.1,        30,        8.6,       309,       88.3
Région,RSS06,06 - Montréal,    118987,     69533,       58.4,     21783,       18.3,     27671,       23.3,      4680,       150,        3.2,       273,        5.8,      4257,       91.0
Région,RSS07,07 - Outaouais,     11361,      7281,       64.1,      1930,       17.0,      2150,       18.9,       211,         6,        2.8,        19,        9.0,       186,       88.2
Région,RSS08,08 - Abitibi-Témiscamingue,      1147,       688,       60.0,       263,       22.9,       196,       17.1,         9,n.d.,n.d.,n.d.,n.d.,         6,       66.7
Région,RSS09,09 - Côte-Nord,       555,       365,       65.8,       103,       18.6,        87,       15.7,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Région,RSS10,10 - Nord-du-Québec,       121,        73,       60.3,        21,       17.4,        27,       22.3,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Région,RSS11,11 - Gaspésie–Îles-de-la-Madeleine,      2014,      1046,       51.9,       415,       20.6,       553,       27.5,        47,n.d.,n.d.,n.d.,n.d.,        42,       89.4
Région,RSS12,12 - Chaudière-Appalaches,     18866,     11487,       60.9,      3682,       19.5,      3697,       19.6,       366,        10,        2.7,        36,        9.8,       320,       87.4
Région,RSS13,13 - Laval,     31577,     19537,       61.9,      6307,       20.0,      5733,       18.2,       909,        16,        1.8,        65,        7.2,       828,       91.1
Région,RSS14,14 - Lanaudière,     24030,     14499,       60.3,      4917,       20.5,      4614,       19.2,       513,        21,        4.1,        31,        6.0,       461,       89.9
Région,RSS15,15 - Laurentides,     21025,     12761,       60.7,      4137,       19.7,      4127,       19.6,       506,        26,        5.1,        37,        7.3,       443,       87.5
Région,RSS16,16 - Montérégie,     50148,     29179,       58.2,      9988,       19.9,     10981,       21.9,      1546,        51,        3.3,       105,        6.8,      1390,       89.9
Région,RSS17,17 - Nunavik,        45,        22,       48.9,         7,       15.6,        16,       35.6,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Région,RSS18,18 - Terres-Cries-de-la-Baie-James,       116,        68,       58.6,        18,       15.5,        30,       25.9,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Région,RSS997,Total Québec jumelés,    356003,    210409,       59.1,     68799,       19.3,     76795,       21.6,     11129,       360,        3.2,       761,        6.8,     10008,       89.9
Groupe d'âge,0_9,Moins de 10 ans,     30079,     25646,       85.3,      3618,       12.0,       815,        2.7,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Groupe d'âge,10_19,10-19 ans,     45421,     37629,       82.8,      6516,       14.3,      1276,        2.8,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Groupe d'âge,20_29,20-29 ans,     52035,     42064,       80.8,      7499,       14.4,      2472,        4.8,         7,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Groupe d'âge,30_39,30-39 ans,     48929,     34253,       70.0,     10227,       20.9,      4449,        9.1,        20,n.d.,n.d.,n.d.,n.d.,        15,       75.0
Groupe d'âge,40_49,40-49 ans,     53403,     33551,       62.8,     12762,       23.9,      7090,       13.3,        47,        13,       27.7,        11,       23.4,        23,       48.9
Groupe d'âge,50_59,50-59 ans,     47885,     23991,       50.1,     13648,       28.5,     10246,       21.4,       205,        35,       17.1,        31,       15.1,       139,       67.8
Groupe d'âge,60_69,60-69 ans,     29385,      9890,       33.7,      8276,       28.2,     11219,       38.2,       709,        64,        9.0,        85,       12.0,       560,       79.0
Groupe d'âge,70_79,70-79 ans,     18518,      2330,       12.6,      3569,       19.3,     12619,       68.1,      2172,        79,        3.6,       199,        9.2,      1894,       87.2
Groupe d'âge,80_89,80-89 ans,     19111,       773,        4.0,      1915,       10.0,     16423,       85.9,      4358,        83,        1.9,       262,        6.0,      4013,       92.1
Groupe d'âge,90_,90 ans et plus,     11237,       282,        2.5,       769,        6.8,     10186,       90.6,      3609,        78,        2.2,       170,        4.7,      3361,       93.1
