No,RSS,NoRLS,RLS,Cas,Cas actifs,Population,Cas pour 100 000,Cas actifs pour 100 000
01,01 - Bas-Saint-Laurent,0111,0111 - RLS de Kamouraska,674,0,20742,3249.45,0.00
01,01 - Bas-Saint-Laurent,0112,0112 - RLS de Rivière-du-Loup,1352,n.d.,34840,3880.60,n.d.
01,01 - Bas-Saint-Laurent,0113,0113 - RLS de Témiscouata,388,0,19055.5,2036.16,0.00
01,01 - Bas-Saint-Laurent,0114,0114 - RLS des Basques,212,n.d.,8507,2492.07,n.d.
01,01 - Bas-Saint-Laurent,0115,0115 - RLS de Rimouski,822,0,57728,1423.92,0.00
01,01 - Bas-Saint-Laurent,0116,0116 - RLS de La Mitis,178,0,17948.5,991.73,0.00
01,01 - Bas-Saint-Laurent,0117,0117 - RLS de Matane,252,n.d.,20658.5,1219.84,n.d.
01,01 - Bas-Saint-Laurent,0118,0118 - RLS de La Matapédia,84,n.d.,17455,481.24,n.d.
01,01 - Bas-Saint-Laurent,,Total (incluant inconnus),3967,5,196934.5,2014.38,2.54
02,02 - Saguenay-Lac-Saint-Jean,0211,0211 - RLS du Domaine-du-Roy,778,0,31025,2507.66,0.00
02,02 - Saguenay-Lac-Saint-Jean,0212,0212 - RLS de Maria-Chapdelaine,1001,0,25019.5,4000.88,0.00
02,02 - Saguenay-Lac-Saint-Jean,0213,0213 - RLS de Lac-Saint-Jean-Est,2816,0,52281,5386.28,0.00
02,02 - Saguenay-Lac-Saint-Jean,0214,0214 - RLS de Jonquière,2440,n.d.,67384,3621.04,n.d.
02,02 - Saguenay-Lac-Saint-Jean,0215,0215 - RLS de Chicoutimi,3158,0,79237.5,3985.49,0.00
02,02 - Saguenay-Lac-Saint-Jean,0216,0216 - RLS de La Baie,816,0,22558,3617.34,0.00
02,02 - Saguenay-Lac-Saint-Jean,,Total (incluant inconnus),11022,n.d.,277505,3971.82,n.d.
03,03 - Capitale-Nationale,0311,0311 - RLS de Portneuf,2094,n.d.,55121,3798.92,n.d.
03,03 - Capitale-Nationale,0312,0312 - RLS de Québec-Sud,14515,23,321832.5,4510.11,7.13
03,03 - Capitale-Nationale,0313,0313 - RLS de Québec-Nord,15270,8,352784,4328.43,2.26
03,03 - Capitale-Nationale,0314,0314 - RLS de Charlevoix,649,0,28065.5,2312.45,0.00
03,03 - Capitale-Nationale,,Total (incluant inconnus),32809,33,757803,4329.49,4.34
04,04 - Mauricie et Centre-du-Québec,0411,0411 - RLS du Haut-Saint-Maurice,428,n.d.,15002,2852.95,n.d.
04,04 - Mauricie et Centre-du-Québec,0412,0412 - RLS de la Vallée de la Batiscan,503,n.d.,25591.5,1965.50,n.d.
04,04 - Mauricie et Centre-du-Québec,0413,0413 - RLS de Maskinongé,658,n.d.,22969.5,2864.67,n.d.
04,04 - Mauricie et Centre-du-Québec,0414,0414 - RLS du Centre-de-la-Mauricie,1549,n.d.,64680,2394.87,n.d.
04,04 - Mauricie et Centre-du-Québec,0415,0415 - RLS de Trois-Rivières,3917,n.d.,143710,2725.63,n.d.
04,04 - Mauricie et Centre-du-Québec,0416,0416 - RLS de Bécancour - Nicolet-Yamaska,969,0,44674,2169.05,0.00
04,04 - Mauricie et Centre-du-Québec,0417,0417 - RLS de Drummond,4120,5,108252,3805.93,4.60
04,04 - Mauricie et Centre-du-Québec,0418,0418 - RLS d'Arthabaska - de l'Érable,2975,n.d.,98452.5,3021.76,n.d.
04,04 - Mauricie et Centre-du-Québec,,Total (incluant inconnus),15200,18,523331.5,2904.47,3.43
05,05 - Estrie,0511,0511 - RLS de la Pommeraie,1221,n.d.,56363,2166.31,n.d.
05,05 - Estrie,0512,0512 - RLS de la Haute-Yamaska,3487,15,106352,3278.73,14.04
05,05 - Estrie,0513,0513 - RLS de Memphrémagog,936,0,52727.5,1775.16,0.00
05,05 - Estrie,0514,0514 - RLS de Coaticook,617,n.d.,18758.5,3289.18,n.d.
05,05 - Estrie,0515,0515 - RLS de Sherbrooke,5078,n.d.,170859,2972.04,n.d.
05,05 - Estrie,0516,0516 - RLS de Val Saint-François,810,0,31559.5,2566.58,0.00
05,05 - Estrie,0517,0517 - RLS d'Asbestos,668,n.d.,14238.5,4691.51,n.d.
05,05 - Estrie,0518,0518 - RLS du Haut-Saint-François,518,n.d.,22777.5,2274.17,n.d.
05,05 - Estrie,0519,0519 - RLS du Granit,1576,n.d.,21331,7388.31,n.d.
05,05 - Estrie,,Total (incluant inconnus),14916,24,494966.5,3013.54,4.83
06,06 - Montréal,0611,0611 - RLS de Pierrefonds - Lac Saint-Louis,10633,32,224851,4728.91,14.22
06,06 - Montréal,0612,0612 - RLS de Dorval - Lachine - Lasalle,9452,16,149985,6301.96,10.63
06,06 - Montréal,0621,0621 - RLS de Côte-Saint-Luc - NDG - Montréal-Ouest,7042,16,131806.5,5342.68,12.10
06,06 - Montréal,0622,0622 - RLS de Côte-des-Neiges - Métro - Parc-Extension,16061,31,246803,6507.62,12.50
06,06 - Montréal,0631,0631 - RLS de Verdun - Côte St-Paul - St-Henri - Pointe-St-Charles,7425,25,166781,4451.95,14.94
06,06 - Montréal,0632,0632 - RLS des Faubourgs - Plateau-Mont-Royal - St-Louis-du-Parc,7179,21,162162,4427.05,12.88
06,06 - Montréal,0641,0641 - RLS du Nord de l'Île - Saint-Laurent,12980,51,162793,7973.32,31.16
06,06 - Montréal,0642,0642 - RLS d'Ahuntsic - Montréal-Nord,14999,45,172965.5,8671.67,25.95
06,06 - Montréal,0643,0643 - RLS de la Petite Patrie - Villeray,5283,10,115764,4563.59,8.62
06,06 - Montréal,0651,0651 - RLS de Saint-Léonard - Saint-Michel,13075,30,139539.5,9370.11,21.44
06,06 - Montréal,0652,0652 - RLS de Rivière-des-Prairies - Anjou - Montréal-Est,15863,34,209153.5,7584.38,16.22
06,06 - Montréal,0653,0653 - RLS de Hochelaga - Mercier-Ouest - Rosemont,10512,16,189456.5,5548.50,8.43
