,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,1468,1,1452,16,30,0,1418,20,196934.5,745.43,10.16,15.23
02,02 - Saguenay–Lac-Saint-Jean,8756,1,8568,188,261,0,8381,114,277505,3155.26,41.10,94.05
03,03 - Capitale-Nationale,21370,51,21047,323,923,7,19553,894,757803,2819.99,117.61,121.80
04,04 - Mauricie et Centre-du-Québec,12192,38,11965,227,447,3,11110,635,523331.5,2329.69,121.11,85.41
05,05 - Estrie,10591,57,10179,412,275,4,9792,524,494966.5,2139.74,105.48,55.56
06,06 - Montréal,94024,577,91192,2832,4308,10,83469,6247,2072060.5,4537.71,300.56,207.91
07,07 - Outaouais,5822,13,5440,382,153,1,5519,150,402744,1445.58,37.09,37.99
08,08 - Abitibi-Témiscamingue,705,2,672,33,5,0,650,50,147637,477.52,33.86,3.39
09,09 - Côte-Nord,340,0,326,14,3,0,337,0,89700.5,379.04,0.00,3.34
10,10 - Nord-du-Québec,88,1,86,2,0,0,86,2,13521.5,650.82,14.83,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,1685,-1,1666,19,45,0,1637,3,89823,1875.91,3.35,50.10
12,12 - Chaudière-Appalaches,10954,43,10692,262,259,1,10257,438,431109.5,2540.89,101.41,60.08
13,13 - Laval,22024,123,20571,1453,826,4,20081,1117,444658.5,4953.01,250.13,185.76
14,14 - Lanaudière,18625,97,17916,709,465,1,17213,947,522367,3565.50,180.50,89.02
15,15 - Laurentides,14526,111,13929,597,433,6,13212,881,630238,2304.84,139.07,68.70
16,16 - Montérégie,37806,247,36281,1525,1328,9,34039,2439,1438226,2628.66,168.94,92.34
17,17 - Nunavik,37,0,35,2,0,0,36,1,14336.5,258.08,6.94,0.00
18,18 - Terres-Cries-de-la-Baie-James,113,2,113,0,2,0,74,37,18507,610.58,198.62,10.81
98,Inconnu,4,0,4,0,0,0,4,0,           .,         .  ,         .  ,         .  
99,Hors Québec,230,4,226,4,0,0,220,10,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,261360,1367,252360,9000,9763,46,237088,14509,8565469.5,3051.32,168.87,113.98
