group,0d,1d,2d,3d,pop 2021
0-4,0,85,15,0,109960
5-11,0,80549,60836,0,149671
12-17,0,100334,93108,0,115666
18-29,0,325676,303926,0,367326
30-39,0,284803,270252,0,330128
40-49,0,252014,241955,0,281268
50-59,0,230861,223877,0,254246
60-69,0,212127,207074,0,219244
70-79,0,149259,146091,0,148691
80 plus,0,106316,102606,0,102264
Total 12+,0,1661390,1588889,0,1818833
Total,0,1742024,1649740,0,2078464
