group,1d,2d,3d,pop 2021
0-4,29732,11052,34,428991
5-11,440642,337487,29783,650347
12-17,532716,510196,120518,529446
18-29,1117882,1058892,452535,1216440
30-39,1025719,985456,520153,1118629
40-49,1030391,1005972,657125,1115327
50-59,1082597,1057089,805904,1155183
60-69,1118627,1106606,1003248,1168854
70-79,755782,754305,726360,783129
80 plus,401305,401745,391905,425520
Total 5+,7505661,7217748,4707531,8162875
Total,7535393,7228800,4707565,8591866
