,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,3992,3,3966,26,53,0,3933,6,196934.5,2027.07,3.05,26.91,1
02,02 - Saguenay-Lac-Saint-Jean,11075,2,10852,223,271,0,10787,17,277505,3990.92,6.13,97.66,2
03,03 - Capitale-Nationale,33132,17,32779,353,1119,0,31895,118,757803,4372.11,15.52,147.66,15
04,04 - Mauricie et Centre-du-Québec,15744,17,15504,240,561,36,15054,129,523331.5,3008.42,24.60,107.20,-14
05,05 - Estrie,15205,34,14687,518,352,0,14654,199,494966.5,3071.93,40.06,71.12,12
06,06 - Montréal,135531,157,132603,2928,4774,0,129611,1146,2072060.5,6540.88,55.14,230.40,83
07,07 - Outaouais,12703,4,12256,447,215,0,12433,55,402744,3154.11,13.60,53.38,8
08,08 - Abitibi-Témiscamingue,1189,0,1156,33,9,0,1157,23,147637,805.35,15.58,6.10,4
09,09 - Côte-Nord,590,0,571,19,4,0,585,1,89700.5,657.74,1.12,4.46,0
10,10 - Nord-du-Québec,113,0,111,2,0,0,110,3,13521.5,835.71,22.25,0.00,0
11,11 - Gaspésie-Îles-de-la-Madeleine,2081,0,2061,20,47,0,2029,5,89823,2316.78,5.58,52.33,2
12,12 - Chaudière-Appalaches,19378,7,19096,282,367,0,18970,41,431109.5,4494.91,9.49,85.13,4
13,13 - Laval,32801,57,30948,1853,917,0,31429,455,444658.5,7376.67,101.89,206.23,49
14,14 - Lanaudière,24535,31,23822,713,517,0,23778,240,522367,4696.89,45.75,98.97,13
15,15 - Laurentides,21477,29,20873,604,510,0,20774,193,630238,3407.76,30.47,80.92,14
16,16 - Montérégie,52442,73,50475,1967,1559,0,50413,470,1438226,3646.30,32.56,108.40,53
17,17 - Nunavik,49,0,47,2,0,0,49,0,14336.5,341.78,0.00,0.00,0
18,18 - Terres-Cries-de-la-Baie-James,119,0,119,0,3,0,116,0,18507,643.00,0.00,16.21,0
98,Inconnu,4,0,3,1,0,0,4,0,.,.,.,.,0
99,Hors Québec,595,5,590,5,0,0,579,16,.,.,.,.,8
999,Ensemble du Québec,382755,436,372519,10236,11278,1,368360,3117,8565469.5,4468.58,36.28,131.67,254

