Arrondissement ou ville liée;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
Ahuntsic–Cartierville;21;389;289,8;9601;7151,8;< 5;n.p.;474;353,1
Anjou;8;127;296,8;3282;7668,9;0;;74;172,9
Baie D'urfé;0;6;n.p.;80;2092,6;0;;< 5;n.p.
Beaconsfield;< 5;21;* 108,7;417;2157,9;0;;19;* 98,3
Côte-des-Neiges–Notre-Dame-de-Grâce;36;475;285,3;11008;6610,6;< 5;n.p.;352;211,4
Côte-Saint-Luc;5;113;348,2;2601;8015,9;< 5;n.p.;112;345,2
Dollard-des-Ormeaux;5;128;261,8;2505;5122,8;0;;120;245,4
Dorval;< 5;40;210,7;749;3946,3;0;;67;353
Hampstead;0;9;* 129,1;365;5234,5;0;;5;n.p.
Kirkland;5;42;208,4;655;3250,5;0;;33;* 163,8
Lachine;-2;153;343,9;2786;6262,2;< 5;n.p.;170;382,1
LaSalle;22;214;278,5;5026;6539,8;0;;237;308,4
L'Île-Bizard–Sainte-Geneviève;< 5;79;429;982;5333,2;0;;74;401,9
Mercier–Hochelaga-Maisonneuve;35;321;236;8138;5982,8;< 5;n.p.;441;324,2
Montréal Est;< 5;17;* 441,6;258;6701,3;0;;9;* 233,8
Montréal-Nord;11;146;173,3;8448;10029,2;< 5;n.p.;327;388,2
Montréal-Ouest;0;10;* 198;163;3227,7;0;;< 5;n.p.
Mont-Royal;< 5;47;231,8;1063;5242,7;0;;92;453,7
Outremont;< 5;35;* 146,1;1194;4984,6;0;;22;* 91,8
Pierrefonds–Roxboro;9;198;285,7;3791;5470,7;< 5;n.p.;80;115,4
Plateau Mont-Royal;13;173;166,3;4180;4019,2;0;;170;163,5
Pointe-Claire;< 5;41;130,7;976;3110,3;< 5;n.p.;53;168,9
Rivière-des-Prairies–Pointe-aux-Trembles;21;310;290,4;8429;7896,5;< 5;n.p.;312;292,3
Rosemont–La Petite Patrie;18;240;171,9;6568;4705,2;< 5;n.p.;321;230
Sainte-Anne-de-Bellevue;< 5;8;n.p.;130;2622;0;;12;* 242
Saint-Laurent;28;393;397,7;7374;7461,4;< 5;n.p.;151;152,8
Saint-Léonard;22;264;337,1;7240;9245,9;< 5;n.p.;132;168,6
Senneville;0;0;;22;* 2388,7;0;;0;
Sud-Ouest;13;146;186,8;3513;4495,1;0;;204;261
Verdun;9;114;164,7;2972;4293;0;;192;277,3
Ville-Marie;11;155;173,8;4340;4867,1;< 5;n.p.;116;130,1
Villeray–Saint-Michel–Parc-Extension;40;410;285;10089;7013,4;< 5;n.p.;186;129,3
Westmount;< 5;15;* 73,8;677;3333;0;;58;285,5
Territoire à confirmer;6;63;;1812;;0;;26;
Total à Montréal;355;4902;237,3;121434;5878,7;22;*1,1;4647;225
