group,1d,2d,pop 2021
0-11,542,132,1079338
12-17,501290,458932,529446
18-29,1050495,968846,1216440
30-39,969985,910431,1118629
40-49,995526,955988,1115327
50-59,1057867,1021031,1155183
60-69,1100671,1083408,1168854
70-79,746770,742649,783129
80 plus,397377,392912,425520
Total 12+,6819981,6534197,7512528
Total,6820523,6534329,8591866
