group,1d,2d,pop 2021
0-11,501,99,1079338
12-17,483779,421753,529446
18-29,1002683,881748,1216440
30-39,933689,846309,1118629
40-49,972117,912394,1115327
50-59,1041858,991265,1155183
60-69,1092504,1068111,1168854
70-79,743328,734983,783129
80 plus,395682,385566,425520
Total 12+,6665640,6242129,7512528
Total,6666141,6242228,8591866
