Arrondissement ou ville liée;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
Ahuntsic–Cartierville;26;509;379,2;21039;15672,1;< 5;n.p.;530;394,8
Anjou;7;142;331,8;7140;16683,8;< 5;n.p.;86;201
Baie D'urfé;< 5;13;* 340;326;8527,3;0;;< 5;n.p.
Beaconsfield;7;85;439,9;1723;8916,4;0;;26;* 134,5
Côte-des-Neiges–Notre-Dame-de-Grâce;45;624;374,7;25106;15076,9;< 5;n.p.;413;248
Côte-Saint-Luc;14;193;594,8;5746;17708,3;0;;129;397,6
Dollard-des-Ormeaux;16;198;404,9;6541;13376,6;0;;131;267,9
Dorval;< 5;83;437,3;2242;11812,4;0;;70;368,8
Hampstead;< 5;113;1620,5;1267;18170,1;0;;6;n.p.
Kirkland;12;99;491,3;2124;10540,4;0;;40;198,5
Lachine;10;191;429,3;6628;14898,1;0;;192;431,6
LaSalle;17;302;393;11631;15134,1;< 5;n.p.;261;339,6
L'Île-Bizard–Sainte-Geneviève;6;50;271,5;2521;13691,4;0;;79;429
Mercier–Hochelaga-Maisonneuve;29;563;413,9;20468;15047,3;0;;505;371,3
Montréal Est;< 5;16;* 415,6;691;17948,1;0;;11;* 285,7
Montréal-Nord;11;202;239,8;15668;18600,6;< 5;n.p.;389;461,8
Montréal-Ouest;< 5;30;* 594,1;613;12138,6;0;;< 5;n.p.
Mont-Royal;< 5;128;631,3;2802;13819,3;0;;95;468,5
Outremont;12;127;530,2;3073;12828,8;0;;31;* 129,4
Pierrefonds–Roxboro;14;224;323,2;9391;13551,8;< 5;n.p.;104;150,1
Plateau Mont-Royal;20;445;427,9;13420;12903,8;< 5;n.p.;196;188,5
Pointe-Claire;8;110;350,5;3082;9821,5;< 5;n.p.;66;210,3
Rivière-des-Prairies–Pointe-aux-Trembles;18;356;333,5;18424;17260,1;0;;355;332,6
Rosemont–La Petite Patrie;42;626;448,5;18868;13516,7;5;n.p.;358;256,5
Sainte-Anne-de-Bellevue;< 5;23;* 463,9;509;10266,2;0;;15;* 302,5
Saint-Laurent;22;310;313,7;15356;15538,1;0;;173;175,1
Saint-Léonard;10;211;269,5;14777;18871,1;0;;169;215,8
Senneville;0;< 5;n.p.;92;9989,1;0;;0;
Sud-Ouest;14;327;418,4;10346;13238,5;< 5;n.p.;234;299,4
Verdun;7;255;368,3;8091;11687,3;< 5;n.p.;213;307,7
Ville-Marie;28;480;538,3;12739;14286,2;< 5;n.p.;156;174,9
Villeray–Saint-Michel–Parc-Extension;27;453;314,9;22685;15769,6;< 5;n.p.;247;171,7
Westmount;14;169;832;2317;11407,1;0;;65;320
Territoire à confirmer;38;420;;8083;;0;;31;
Total à Montréal;489;8078;391,1;295530;14306,8;22;*1,1;5382;260,5
