Regroupement,Croisement,Nom,Cumul,nbPrelPos,nombreSequencageA,nombreSequencageB,nombreSequencageG,NbrConfirmeDelta,NbrPresomptifDelta,Delta_Total,NbrAutres,NbrAutre2,Total_VOC,nbrNonVOC,nbrCribETSeq,nbrCrib,nbrSeq,nbrCribOUSeq
Région,RSS01,01 - Bas-Saint-Laurent,Total,2902,994,0,0,5,108,113,1795,1303,1107,492,188,1696,220,1599
Région,RSS02,02 - Saguenay-Lac-Saint-Jean,Total,3411,997,0,0,15,216,231,2183,1409,1228,774,171,2025,207,2002
Région,RSS03,03 - Capitale-Nationale,Total,15925,6276,5,11,183,987,1170,8463,5349,7462,3114,866,10270,1056,10576
Région,RSS04,04 - Mauricie et Centre-du-Québec,Total,7303,1652,1,2,137,902,1039,4609,3992,2694,617,336,4411,375,3311
Région,RSS05,05 - Estrie,Total,8475,2035,0,11,222,916,1138,5291,4253,3184,1038,507,4087,380,4222
Région,RSS06,06 - Montréal,Total,74294,13822,126,284,2480,7962,10442,49620,34634,24674,14986,5381,31895,6039,39660
Région,RSS07,07 - Outaouais,Total,8306,3839,17,33,104,1101,1205,3212,1842,5094,1370,179,4881,1138,6464
Région,RSS08,08 - Abitibi-Témiscamingue,Total,921,101,193,0,11,57,68,559,275,362,284,16,275,240,646
Région,RSS09,09 - Côte-Nord,Total,382,163,0,0,3,62,65,154,103,228,51,14,288,36,279
Région,RSS10,10 - Nord-du-Québec,Total,65,22,2,0,4,12,16,25,4,40,21,6,57,6,61
Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,Total,614,185,0,0,5,80,85,344,273,270,71,14,370,36,341
Région,RSS12,12 - Chaudière-Appalaches,Total,13433,3452,1,10,46,1901,1947,8023,6753,5410,1270,515,8623,770,6680
Région,RSS13,13 - Laval,Total,18906,3278,13,23,422,3082,3504,12088,8997,6818,3091,620,7426,909,9909
Région,RSS14,14 - Lanaudière,Total,11441,1820,38,11,189,1990,2179,7393,4945,4048,2448,570,5435,767,6496
Région,RSS15,15 - Laurentides,Total,13235,2559,33,59,219,2784,3003,7581,4460,5654,3121,911,7703,1013,8775
Région,RSS16,16 - Montérégie,Total,27131,4291,25,155,1123,3069,4192,18468,13249,8663,5219,1905,11277,2202,13882
Région,RSS00,Inconnu,Total,549,50,1,0,21,73,94,404,198,145,206,24,270,89,351
Région,RSS98,Hors-Québec,Total,870,125,11,10,152,148,300,424,287,446,137,170,362,248,583
Région,RSS99,Ensemble du Québec,Total,208163,45661,466,609,5341,25450,30791,130636,92326,77527,38310,12393,101351,15731,115837

