CIUSSS;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
CIUSSS de l'Ouest-de-l'Île-de-Montréal;6;311;83,1;22528;6021,6;< 5;n.p.;899;240,3
CIUSSS du Centre-Ouest-de-l'Île-de-Montréal ;26;324;85,9;25780;6835,9;< 5;n.p.;767;203,4
CIUSSS du Centre-Sud-de-l'Île-de-Montréal ;9;182;55,6;16454;5023,5;< 5;n.p.;652;199,1
CIUSSS du Nord-de-l'Île-de-Montréal ;25;382;84,9;36834;8187,2;< 5;n.p.;1122;249,4
CIUSSS de l'Est-de-l'Île-de-Montréal ;28;524;97,6;44385;8265,8;< 5;n.p.;1367;254,6
Territoire à confirmer;< 5;47;;2457;;0;;26;
Total à Montréal;96;1770;85,7;148438;7186;13;* 0,6;4833;234
