Regroupement,Croisement,Nom,nbPrelPos,nombreSequencageA,nombreSequencageB,nombreSequencageG,NbrConfirmeDelta,NbrPresomptifDelta,NbrAutres,Total_VOC,nbrNonVOC,nbrCribETSeq,nbrCrib,nbrSeq,nbrCribOUSeq
Région,RSS01,01 - Bas-Saint-Laurent,2719,994,,,5,17,1703,1016,1639,186,1584,220,1501
Région,RSS02,02 - Saguenay-Lac-Saint-Jean,3258,997,,,8,116,2137,1121,2037,162,1933,204,1893
Région,RSS03,03 - Capitale-Nationale,15197,6274,5,11,157,561,8189,7008,9962,817,9594,1048,10114
Région,RSS04,04 - Mauricie et Centre-du-Québec,6521,1651,1,2,65,609,4193,2328,3931,262,3703,369,2934
Région,RSS05,05 - Estrie,7733,2035,,11,101,639,4947,2786,3932,338,3670,369,3767
Région,RSS06,06 - Montréal,70449,13822,126,284,1655,5333,49229,21220,33568,4309,29288,5523,36156
Région,RSS07,07 - Outaouais,7794,3839,17,33,87,689,3129,4665,5744,166,4432,1123,6022
Région,RSS08,08 - Abitibi-Témiscamingue,875,100,193,,9,17,556,319,441,12,227,235,599
Région,RSS09,09 - Côte-Nord,300,162,,,3,14,121,179,252,14,234,35,226
Région,RSS10,10 - Nord-du-Québec,64,22,2,,1,14,25,39,64,3,59,4,60
Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,541,185,,,9,44,303,238,368,17,332,36,308
Région,RSS12,12 - Chaudière-Appalaches,11869,3452,1,10,25,830,7551,4318,8253,482,7433,766,5538
Région,RSS13,13 - Laval,17715,3278,13,23,360,2079,11962,5753,8771,544,6408,872,8828
Région,RSS14,14 - Lanaudière,10663,1820,38,11,165,1331,7298,3365,5848,479,4900,687,5884
Région,RSS15,15 - Laurentides,12129,2559,33,59,189,1843,7446,4683,7432,851,6745,972,7808
Région,RSS16,16 - Montérégie,25353,4291,25,155,773,2066,18043,7310,13291,1444,10248,1973,12486
Région,RSS00,Inconnu,465,50,1,,11,54,349,116,414,15,243,85,319
Région,RSS98,Hors-Québec,782,123,11,10,117,121,400,382,399,140,319,212,512
Région,RSS99,Ensemble du Québec,194427,45654,466,609,3740,16377,127581,66846,106346,10241,91352,14733,104955

