,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,4068,.,4046,22,54,.,3999,15,196934.5,2065.66,7.62,27.42,.
02,02 - Saguenay-Lac-Saint-Jean,11248,.,11027,221,271,.,10927,50,277505,4053.26,18.03,97.66,.
03,03 - Capitale-Nationale,33893,.,33539,354,1121,.,32572,200,757803,4472.53,26.31,147.93,.
04,04 - Mauricie et Centre-du-Québec,16832,.,16595,237,565,.,16019,248,523331.5,3216.32,47.30,107.96,.
05,05 - Estrie,16329,.,15819,510,357,.,15684,288,494966.5,3299.01,57.97,72.13,.
06,06 - Montréal,144390,.,141454,2936,4797,.,137368,2225,2072060.5,6968.43,107.05,231.51,.
07,07 - Outaouais,13660,.,13214,446,220,.,13265,175,402744,3391.73,43.27,54.63,.
08,08 - Abitibi-Témiscamingue,1231,.,1198,33,9,.,1211,11,147637,833.80,7.45,6.10,.
09,09 - Côte-Nord,609,.,589,20,4,.,596,9,89700.5,678.93,10.07,4.46,.
10,10 - Nord-du-Québec,136,.,134,2,0,.,134,2,13521.5,1005.81,14.83,0.00,.
11,11 - Gaspésie-Îles-de-la-Madeleine,2144,.,2124,20,47,.,2085,12,89823,2386.92,13.39,52.33,.
12,12 - Chaudière-Appalaches,20534,.,20260,274,370,.,19775,389,431109.5,4763.06,90.07,85.83,.
13,13 - Laval,35746,.,33824,1922,932,.,34181,633,444658.5,8038.98,141.75,209.60,.
14,14 - Lanaudière,26452,.,25742,710,518,.,25497,437,522367,5063.87,83.29,99.16,.
15,15 - Laurentides,23889,.,23285,604,515,.,22795,579,630238,3790.47,91.40,81.72,.
16,16 - Montérégie,56339,.,54406,1933,1571,.,53809,959,1438226,3917.26,66.43,109.23,.
17,17 - Nunavik,50,.,48,2,0,.,50,0,14336.5,348.76,0.00,0.00,.
18,18 - Terres-Cries-de-la-Baie-James,140,.,140,0,5,.,135,0,18507,756.47,0.00,27.02,.
98,Inconnu,4,.,3,1,0,.,4,0,.,.,.,.,.
99,Hors Québec,768,.,763,5,0,.,752,16,.,.,.,.,.
999,Ensemble du Québec,408462,.,398210,10252,11356,.,390858,6248,8565469.5,4768.71,72.72,132.58,.

